horse,sire,dam_structured_key,damsire,runner_rows,provisional_races,first_date,last_date,minimum_age,maximum_age,distinct_sexes,sex_values,raw_dam_labels,dam_suffix_formats,course_examples,group_number,groups_for_label,previous_last_date,boundary_separate,next_sire,next_dam_structured_key,next_damsire,next_first_date,next_minimum_age,sire_changed,dam_changed,damsire_changed,pedigree_components_changed,gap_days,analytical_outcome,decision_basis,identity_split,governing_verification_id
A La Prochaine (FR),Laverock (IRE),"('parsed_suffix', 'Necessaire', 'FR')",Garde Royale,14,14,2015-03-14,2016-06-12,5,6,1,M,Necessaire (FR),parenthesized,Auteuil (FR) | Enghien (FR),1,2,,True,Lope De Vega (IRE),"('parsed_suffix', 'Margies Music', 'FR')",Hurricane Run,2025-10-25,2.0,True,True,True,3,3422,Different horse,complete_pedigree_change_with_separated_chronology,True,
Accrington Stanley (GB),Outstrip (GB),"('parsed_suffix', 'Round Midnight I', 'GB')",Paco Boy,28,28,2020-08-06,2022-07-30,2,4,1,G,Round Midnight I GB,bare,Bath | Sandown | Wolverhampton (AW) | Chelmsford (AW) | Kempton (AW) | Southwell (AW) | Newcastle (AW) | Leicester | Chepstow | Windsor | Lingfield (AW),1,2,,True,Outstrip (GB),"('parsed_suffix', 'Round Midnight', 'GB')",Paco Boy,2022-08-11,4.0,False,True,False,1,12,Corrected,bounded_continuity_or_source_correction,False,
Acoustic Ave (USA),Macleans Music (USA),"('parsed_suffix', 'Rock Ave Road', 'USA')",Street Boss,1,1,2023-07-16,2023-07-16,3,3,1,C,Rock Ave Road (USA),parenthesized,Saratoga (USA),1,2,,True,Macleans Music (USA),"('parsed_suffix', 'Rock Ave. Road', 'USA')",Street Boss,2025-12-06,5.0,False,True,False,1,874,Corrected,bounded_continuity_or_source_correction,False,
Al Daayen (FR),Joshua Tree (IRE),"('parsed_suffix', 'Get The Ring', 'FR')",Linamix,12,12,2019-01-29,2019-11-27,3,3,1,F,Get The Ring (FR),parenthesized,Wolverhampton (AW) | Newcastle (AW) | Southwell (AW) | Lingfield (AW) | Brighton | Yarmouth | Lingfield | Deauville (FR),1,2,,True,Zelzal (FR),"('parsed_suffix', 'Nigwah', 'FR')",Montjeu,2023-11-05,2.0,True,True,True,3,1439,Different horse,complete_pedigree_change_with_separated_chronology,True,
Alcala (FR),Turgeon (USA),"('parsed_suffix', 'Pail Mel', 'FR')",Sleeping Car,33,33,2015-10-21,2022-02-03,5,12,1,G,Pail Mel (FR),parenthesized,Worcester | Cheltenham | Haydock | Wincanton | Fontwell | Sandown | Ayr | Newton Abbot | Uttoxeter | Hereford | Ludlow | Market Rasen | Chepstow | Musselburgh | Ascot | Stratford,1,2,,True,Wootton Bassett (GB),"('parsed_suffix', 'Almeria', 'FR')",Shamardal,2024-04-29,3.0,True,True,True,3,816,Different horse,complete_pedigree_change_with_separated_chronology,True,
Alderley Charlie (GB),Ask (GB),"('parsed_suffix', 'Alderley Heights', 'GB')",Ut*windsor Heights,2,2,2024-11-06,2024-12-30,4,4,1,G,Alderley Heights GB,bare,Chepstow | Taunton,1,2,,True,Ask (GB),"('parsed_suffix', 'Alderley Heights', 'GB')",Windsor Heights,2025-01-08,5.0,False,False,True,1,9,Corrected,bounded_continuity_or_source_correction,False,NB19-ID-0007
All Good (GB),Equiano (FR),"('parsed_suffix', 'Love Me Tender', 'GB')",Green Desert,1,1,2018-06-09,2018-06-09,4,4,1,F,Love Me Tender GB,bare,Catterick,1,2,,True,Tasleet (GB),"('parsed_suffix', 'Mythical Spirit', 'IRE')",Dragon Pulse,2025-09-19,2.0,True,True,True,3,2659,Different horse,complete_pedigree_change_with_separated_chronology,True,
Almavillalobas (GB),Master Carpenter (IRE),"('parsed_suffix', 'Nation', 'USA')",Rio Verde,7,7,2023-08-16,2025-11-25,3,5,2,F | M,Nation (USA),parenthesized,Kempton (AW) | Wolverhampton (AW) | Brighton | Chelmsford (AW) | Lingfield (AW),1,2,,True,Master Carpenter (IRE),"('parsed_suffix', 'Nation II', 'USA')",Rio Verde,2026-02-12,6.0,False,True,False,1,79,Unresolved,pending_official_confirmation,,NB19-ID-0009
Amoretti (FR),Lac Ladoga (GB),"('parsed_suffix', 'Lakarifair', 'IRE')",Always Fair,1,1,2017-08-28,2017-08-28,13,13,1,H,Lakarifair (IRE),parenthesized,Ostend (BEL),1,2,,True,Shalaa (IRE),"('parsed_suffix', 'Annie Newton', 'IRE')",Teofilo,2023-05-25,2.0,True,True,True,3,2096,Different horse,complete_pedigree_change_with_separated_chronology,True,
An Bhfuil Tu Reidh (IRE),Most Improved (IRE),"('parsed_suffix', 'Rory Anna', 'IRE')",Viking Ruler,6,6,2018-05-18,2019-04-25,2,3,1,G,Rory Anna (IRE),parenthesized,Cork (IRE) | Gowran Park (IRE) | Bellewstown (IRE) | Galway (IRE) | Naas (IRE) | Tipperary (IRE),1,2,,True,Court Cave (IRE),"('parsed_suffix', 'Betty Beck', 'IRE')",Westerner,2026-05-11,6.0,True,True,True,3,2573,Different horse,complete_pedigree_change_with_separated_chronology,True,
Ancient World (USA),Giants Causeway (USA),"('parsed_suffix', 'Satulagi', 'USA')",Officer,4,4,2015-09-30,2016-05-28,2,3,2,C | G,Satulagi (USA),parenthesized,Salisbury | Leicester | Kempton (AW),1,2,,True,Into Mischief (USA),"('parsed_suffix', 'Thirteen Arrows', 'USA')",Indian Charlie,2025-08-10,3.0,True,True,True,3,3361,Different horse,complete_pedigree_change_with_separated_chronology,True,
Angels Share (GB),Reliable Man (GB),"('parsed_suffix', 'Anna Of Russia', 'GER')",Acatenango,1,1,2018-05-21,2018-05-21,3,3,1,F,Anna Of Russia (GER),parenthesized,Saint-Cloud (FR),1,2,,True,Harry Angel (IRE),"('parsed_suffix', 'Purest', 'GB')",Shamardal,2025-06-26,2.0,True,True,True,3,2593,Different horse,complete_pedigree_change_with_separated_chronology,True,
