candidate_pair_id,candidate_generation_method,strict_comparison_key,left_raw_jockey_label,right_raw_jockey_label,pair_label_structure,temporal_relationship,gap_days,overlap_days,left_runner_rows,right_runner_rows,combined_runner_rows,same_race_collisions,shared_horse_count,shared_horses,shared_trainer_count,shared_trainers,context_candidate_status,review_priority,review_reason,identity_relationship,left_verified_person_name,right_verified_person_name,verification_status,verification_id,evidence_type,evidence_locator,evidence_accessed_date,confidence,review_notes,database_action,review_scope_status,review_trigger,review_scope_reason
JOCKEY-STRICT-0001,observed_leading_title_removed_exact_match,b oneill,Miss B ONeill,Mr B ONeill,two_title_bearing_labels,observed_periods_overlap,0,2222,10,700,710,1,0,,0,,same_race_collision,1,labels occur on separate runners in the same provisional race,different_people,,,confirmed,NB22-JOCKEY-0001,published_result,https://www.racingpost.com/results/192/naas/2017-11-11/688901,2026-08-04,high,"The published 4:05 Naas result on 2017-11-11 lists Miss B O'Neill and Mr B O'Neill as separate riders in the same race. This confirms that the two raw labels represent different people. The evidence does not establish either rider's full registered name, so both verified-name fields remain blank.",preserve_separate_participant_identities,completed,,Relationship supported by inspected external evidence.
JOCKEY-STRICT-0002,observed_leading_title_removed_exact_match,marie velon,Mlle Marie Velon,Mme Marie Velon,two_title_bearing_labels,observed_periods_separate,20,0,1428,1021,2449,0,80,Abstract (FR) | Acclam (FR) | Adhamiy (FR) | Agile (IRE) | Always Welcome (FR) | Athineos (FR) | Atome (GB) | Bacchilide (GB) | Bateau Blanc (GB) | Bellamore (FR) | Big Raj (FR) | Black Lives Matter (FR) | Blackbirdfly (ITY) | Canouann (FR) | Cervaro (FR) | Dandy Cool (FR) | Deep Hope (USA) | Deep Sea (FR) | Diamond Vendome (FR) | Diva Du Dancing (FR) | Eshiya (IRE) | Ferrari Fever (FR) | Fille Du Roi (FR) | Fuego Del Amor (FR) | Gin Gembre (FR) | Green Curry (IRE) | Heatherwood (FR) | Hollywood Africans (FR) | I Excel (FR) | Illustre Bere (FR) | Inkiostro (FR) | Iresine (FR) | Ismael Paint (FR) | Joyeuse Sage (FR) | Karioitahi (IRE) | LIenissei (FR) | La Belle Poete (FR) | Le Chat Botte (FR) | Leander (FR) | Les Trois Vallees (FR) | Looking At Me (FR) | Lord Monchablon (GB) | Lovely Angel (FR) | Ma Mome (FR) | Mi CInfilo (FR) | Micoleo (FR) | Moudir (FR) | Ozan (FR) | Parrhesia (FR) | Plain Beau (GB) | Planthalya (FR) | Polite (FR) | Rising Up (FR) | Riski Chope (FR) | Rocquemont (FR) | Romanello (FR) | Ruby In The Rocks (FR) | Saint Fiacre (FR) | Samagace Du Vivien (FR) | Santurin (FR) | Stepaside Bell (FR) | Summit (FR) | Tallinski (IRE) | Tertius (FR) | Testipedro (FR) | The Cats (FR) | Toijk (FR) | Two Two Two (FR) | Variyni (FR) | Vega Dream (GB) | Voulez Vous (FR) | Waldenon (FR) | War Chimes (FR) | We Ride The World (IRE) | Woody Wood (GER) | Yes Zara (FR) | Zantario (GER) | Zelzalita (FR) | Zenigata (FR) | Zilrak (FR),116,A & G Botti | A S & D Allard | A Schepens | A Schutz | Adrien Fouassier | Alain Couetil | Andreas Suborics | B Audouin | B De Montzey | B Goudot | B Legros | Brian Beaunez | C & Y Lerner | C Boutin | C Escuder | C Ferland | C Gourdain | C Lotoux | C Plisson | Carina Fey | Carmen Bocskai | Caroline Auvray | Charlotte Alesi | David Menuisier | Dr A Bolte | E Libaud | Edouard Monfort | Elias Mikhalides | F Alloncle | F Belmont | F Bresson | F Chappet | F Guyader | F Monnier | F Rohaut | F Vermeulen | F-H Graffard | Francois Monfort | Frau Hella Sauer | G Doleuze | G Nicot | G Pannier | Gavin Hernon | Gianluca Bietolini | Gregoire Juillet | H Blume | H De Nicolay | Hedi Ghabri | Henk Grewe | J Bertran De Balanda | J Bossert | J Parize | J Planque | J Reynier | J-J Chavarrias Arellano | J-M Beguigne | J-P Dubois | J-P Gauvin | Jean-Pierre Carvalho | Joaquim Armando Ferreira De Oliveira | Joeri Goossens | Julien Phelippon | L Cendra | Louis Baudron | Louis Bernhardt | M Alonso Roldan | M Boutin | M Brasme | M Delcher Sanchez | M Munch | M Nigge | M Pimbonnet | M Rolland | M Rulec | M Seror | M Weber | Marian Falk Weissmeier | Mario Baratti | Markus Geisler | Maurizio Guarnieri | Mlle Gaelle Gernay | Mme C Janssen | Mme L Vanska | Mme M Bollack-Badel | Mme M Solignac | Mme P Butel & J-L Beaunez | Mme S Gavilan | N Caullery | N Paysan | N Perret | Nick Littmoden | O Trigodet | P & J Brandt | P Adda | P Adda & F Renaut | P Cottier | P De Chevigny | P Decouz | P Groualle | P Sogorb | P Vovcenko | R Avial Lopez | R Chotard | Robert Collet | S Ghys | S Jesus | S Kobayashi | S Labate | S Pecoraro | Sofie Lanslots | Thibault Speicher | Vaclav Luka Jr | Xavier Blanchet | Y Barberot | Yannick Fouin | Yoann Bonnefoy,shared_horse,2,labels share one or more exact raw horse labels,same_person,Marie Vélon,Marie Vélon,confirmed,NB22-JOCKEY-0002,governing_body_profile; published_jockey_profile,https://www.france-galop.com/fr/content/la-jockey-marie-velon-signe-une-annee-2022-exceptionnelle; https://www.racingpost.com/profile/jockey/95747/mme-marie-velon,2026-08-04,high,"France Galop records one jockey, Marie Vélon, with a continuous professional career. Racing Post assigns Marie Velon the single jockey profile identifier 95747. The two source labels also share 80 exact horse labels and 116 trainer labels and never occur together in one provisional race. Treat both raw labels as presentations of the same person. Do not interpret Mlle and Mme as reliable effective-dated status values because published historical results may display a standardised or later title.",map_both_labels_to_same_participant_identity,completed,,Relationship supported by inspected external evidence.
JOCKEY-STRICT-0003,observed_leading_title_removed_exact_match,frida valle skar,Mlle Frida Valle Skar,Mme Frida Valle Skar,two_title_bearing_labels,observed_periods_overlap,0,9,797,673,1470,0,43,Almazora (FR) | Amoureuse (FR) | Anonyme (FR) | Bawe Island (FR) | Breath Of Fire (FR) | Comtesse Vera (FR) | Coral Slipper (FR) | Dream Again (FR) | Empiric (GB) | Excalibur (FR) | Fitzcarraldo (FR) | Glicourt (FR) | Green Curry (IRE) | Jaguare Precieuse (FR) | Joyeuse Sage (FR) | Karmina Bella (FR) | Kendra (FR) | King Robbe (FR) | Kolplet (FR) | Koutsounakos (GB) | Larno (FR) | Laura Trezy (FR) | Le Central (FR) | Leoparduccio (FR) | Lesslepasser (FR) | Lucky You (FR) | Maavah (FR) | Magic Sword (FR) | My Buddy (FR) | Noble Angel (GB) | Orange Vif (FR) | Oser (IRE) | Prince Des Dunes (FR) | Prince Shalaa (FR) | Ravens Spirit (FR) | Restless Spirit (GB) | Rouvray (GB) | Royalwood (FR) | Savile Row (FR) | True Value (FR) | Tudo Bem (FR) | White Platin (FR) | Zelda Rebel (FR),35,A Lopez | A S & D Allard | A Sagot | B Goudot | B Mohamed | C & Y Lerner | C Pautier | C Plisson | Charlotte Alesi | E Bernhardt | F-X Belvisi | Gianluca Bietolini | Guillaume Courbot | Helmi Boujardine | J Parize | J-L Pelletan | Jean-Raymond Breton | Laura Lemiere | M Boutin | M Krebs | M Nigge | M Swinnens | Maurizio Guarnieri | Mme C Barande-Barbe | Mme Conny Whitfield | Mme G Rarick | Mme M Desvaux | Niels Lantsoght | P Adda | P Adda & F Renaut | Rosine Bouckhuyt | Sofie Lanslots | Sven Schleppi | Yannick Fouin | Yoann Bonnefoy,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0004,observed_leading_title_removed_exact_match,perrine cheyer,Mlle Perrine Cheyer,Mme Perrine Cheyer,two_title_bearing_labels,observed_periods_separate,5,0,416,242,658,0,35,A Stolen Kiss (FR) | Albert Bridge (FR) | Bonnie Hopps (FR) | Boogie (FR) | Bozzo (FR) | Cap Skirring (FR) | Crew Dragon (FR) | Eliite (FR) | Excalibur (FR) | Gardol Moon (FR) | Go For It (FR) | Go Love (FR) | Hot Summer (FR) | Hypnotized (FR) | JAcclame (FR) | Kavakney (BEL) | Kilia (FR) | Kizmambo (IRE) | Koutsounakos (GB) | Kup Davis (FR) | London Way (FR) | Maguro (FR) | Mehgaway (FR) | Milad (FR) | Mitarc (BEL) | Moasa (FR) | My Universe (FR) | Naiade (FR) | Planthalya (FR) | Romanello (FR) | Rum Tum Tugger (FR) | Tallinski (IRE) | Tarcenay (IRE) | Vaydena (FR) | What Else Chop (FR),37,A Brenckle | A S & D Allard | A Sagot | A Schepens | Adrien Fouassier | B Le Regent | B Legros | Brian Beaunez | C Martinon | C Plisson | Frau Doris Ursula Smith | Frau Hella Sauer | G Collet | G Verheye | Gianluca Bietolini | I Endaltsev | J Carayon | J Lebosse | J Leroy | J Parize | J-M Plasschaert | Louis Baudron | M Figge | Mario Baratti | Melanie Van Den Weghe | Michael Schiestel | Michael Stehli | Mme Nathalie Vasutek-Zinck | P Adda & F Renaut | P Baudry | P Decouz | Prescillia Gruber | S Dehez | S Ghys | S Morineau | Sofie Lanslots | Yannick Fouin,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0005,observed_leading_title_removed_exact_match,jack andrews,Jack Andrews,Mr Jack Andrews,title_bearing_and_untitled,observed_periods_overlap,0,3296,523,161,684,0,30,Anariza (FR) | Begin The Luck (IRE) | Boleyn Boy (IRE) | Bonnets Vino (GB) | Boombawn (IRE) | Brave Jen (GB) | Broken Quest (IRE) | Character Testing (GB) | Crackerjack Queen (IRE) | Daytime Dreaming (IRE) | Fransham (GB) | George Darling (IRE) | Gouet Des Bruyeres (FR) | Jet Plane (IRE) | Latenightrumble (GB) | Lenjoleur De Palma (FR) | Lighthouse Mill (IRE) | Lord Sparky (GB) | Power Of Power (IRE) | Riddlestown (IRE) | Sambezi (FR) | Secret Vino (GB) | Smurfette (GB) | Soldiers Leap (IRE) | Takeit Easy (GB) | The Golden Rebel (IRE) | Tigers Moon (GB) | Treacyswestcounty (IRE) | William Cody (GB) | Xcitations (GB),14,Ben Case | Caroline Bailey | Caroline Fryer | Cynthia Woods | Dan Skelton | David Dennis | Henry Oliver | Laura Horsfall | N W Padfield | Oliver Signy | Olly Williams | Pam Sly | T Ellis | Toby Bulgin,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0006,observed_leading_title_removed_exact_match,ambre molins,Mlle Ambre Molins,Mme Ambre Molins,two_title_bearing_labels,observed_periods_separate,14,0,490,420,910,0,26,Americano (FR) | Auen Adventure (GER) | Dulini (GB) | Freja (FR) | Haaricia (FR) | Impitoyable (FR) | Le Gardolot (FR) | Lunala (FR) | Magnetique (IRE) | Manarola (FR) | Midsummer Dance (USA) | Mondainai (FR) | Monsieurvalchop (FR) | Not So Silly (FR) | Pennywell (FR) | Pitrizza (FR) | Rising Up (FR) | Rosetta Stone (FR) | Rouanita (FR) | Saga Timgad (FR) | Selket (IRE) | Shielding (USA) | Sundayinmay (GER) | Why Chope (FR) | Yollilal (FR) | Zoe (FR),30,B Goudot | B Legros | Brian Beaunez | C Boutin | C Escuder | C Plisson | Caroline Auvray | D De Waele | F Chappet | F-X Belvisi | Frau Hella Sauer | G Pannier | Gianluca Bietolini | H Blume | J Andreu | J Bourgeais | J Parize | Julian Resimont | M Lehmann | Marian Falk Weissmeier | Markus Geisler | Mme Helene Mennessier Martinez | Mme Nathalie Vasutek-Zinck | N Clement | P Sigaud | S Labate | S Morineau | Tim Donworth | Waldemar Hickst | Yoann Bonnefoy,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0007,observed_leading_title_removed_exact_match,paddy hanlon,Mr Paddy Hanlon,Paddy Hanlon,title_bearing_and_untitled,observed_periods_separate,13,0,49,544,593,0,22,A Mere Bagatelle (IRE) | Another Nightmare (IRE) | D Journey Man (IRE) | Dragon Rock (IRE) | Fascinating Shadow (IRE) | Fort Randall (IRE) | Half A Chance (IRE) | Hardy Buck (IRE) | Into The Unknown (IRE) | Lion City (IRE) | Miss Oreo (IRE) | Mullins Cross (IRE) | Pahlavi (IRE) | Phoenix Cowboy (USA) | Quest With Speed (IRE) | Real Empire (GB) | Rodney (IRE) | Sadies Diamond (IRE) | Seasett (GB) | Sefton Warrior (GB) | Sirekoff (IRE) | Topgun Simmy (IRE),3,Anthony McCann | John Joseph Hanlon | Patrick Neville,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0008,observed_leading_title_removed_exact_match,coralie pacaut,Mlle Coralie Pacaut,Mme Coralie Pacaut,two_title_bearing_labels,observed_periods_separate,68,0,1571,326,1897,0,18,Almazora (FR) | Big Boots (IRE) | Buti (FR) | Cold Play (FR) | Droit De Parole (IRE) | Eternel (FR) | Flamboyante (FR) | Giorgiana (FR) | Give Me Gold (FR) | Gray DAlbion (FR) | Joao (FR) | Khochenko (FR) | Konig Chouchen (FR) | Nosdargent (FR) | Obsess (FR) | Plenty City (FR) | Taal (FR) | Tarahumara Queen (FR),42,A Junk | C Escuder | C Lotoux | D & P ProdHomme | D Artu | D Smaga | E Libaud | Elias Mikhalides | F Vermeulen | F-X Belvisi | Francois Monfort | G Doleuze | G Pannier | Gianluca Bietolini | H Blume | H Fortineau | Ingrid Janackova Koplikova | J Bertin | J Bertran De Balanda | J-C Rouget | J-M Baudrelle | J-M Beguigne | J-V Toux | M Boutin | M Cesandri | Maurizio Guarnieri | Mme C Barande-Barbe | Mme F Chenu | Mme G Rarick | Mme Stephanie Jaffrelot-Bedon | Nicolas Le Roch | O Regley | P Adda | P Cottier | P Nicot | Pauline Menges | Roberto-Carlos Montenegro | S Wattel | Sofie Lanslots | Thibaut Richard | Tim Donworth | Y Barberot,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0009,observed_leading_title_removed_exact_match,tristan durrell,Mr Tristan Durrell,Tristan Durrell,title_bearing_and_untitled,observed_periods_overlap,0,1155,114,748,862,0,17,Calico (GER) | Dazzling Glory (IRE) | Faivoir (FR) | Farmers Gamble (GB) | Ferrobin (IRE) | Gentle Connections (GB) | Get On The Yager (GB) | Global Famenglory (IRE) | Go Steady (GB) | Marracudja (FR) | Moores Novelty (IRE) | Not That Fuisse (FR) | One For Billy (GB) | Ridgeway (FR) | Sofias Rock (FR) | Starsky (IRE) | West To The Bridge (IRE),8,Dan Skelton | David Brace | Ewan Whillans | Max Young | Milton Harris | N A Pearce | Suzy Smith | Tim Vaughan,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0010,observed_leading_title_removed_exact_match,alice stevens,Alice Stevens,Miss Alice Stevens,title_bearing_and_untitled,observed_periods_separate,14,0,338,168,506,0,16,Braganza Bay (GB) | Bretney (IRE) | Bridge North (IRE) | Buto (GB) | Earcomesbob (GB) | Earcomessue (GB) | Emma Hamilton (IRE) | Gustoso (GB) | Jimmy The Digger (GB) | Lily Glitters (GB) | Minniemum (GB) | Rapper (GB) | Regal Renaissance (GB) | Supreme Gift (IRE) | The Wrekin (IRE) | Time In The Sun (IRE),16,Alexandra Dunn | B F Brookhouse | Claire Dyson | David Pipe | Harry Derham | Helen Nelmes | Henry Daly | Ian Williams | Micky Hammond | Oliver Greenall & Josh Guerriero | Peter Pritchard | Robert Waley-Cohen | Ryan Potter | Sam England | Sandy Thomson | Tom Weston,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
