candidate_pair_id,left_raw_jockey_label,right_raw_jockey_label,temporal_relationship,gap_days,overlap_days,left_runner_rows,right_runner_rows,combined_runner_rows,shared_horse_count,shared_horses,shared_trainer_count,shared_trainers,governing_jurisdiction,governing_authority,authority_registered_name,authority_participant_id,authority_evidence_type,authority_evidence_locator,authority_evidence_accessed_date,authority_lookup_status,secondary_provider,secondary_participant_id,secondary_display_name,secondary_evidence_locator,secondary_lookup_status,identity_relationship,left_verified_person_name,right_verified_person_name,verification_status,evidence_type,evidence_locator,evidence_accessed_date,confidence,review_notes,database_action,left_distinct_courses,right_distinct_courses,shared_course_count,combined_distinct_courses,source_course_relationship,left_top_courses,right_top_courses,shared_courses,review_scope_status,review_trigger,review_scope_reason
JOCKEY-STRICT-0003,Mlle Frida Valle Skar,Mme Frida Valle Skar,observed_periods_overlap,0,9,797,673,1470,43,Almazora (FR) | Amoureuse (FR) | Anonyme (FR) | Bawe Island (FR) | Breath Of Fire (FR) | Comtesse Vera (FR) | Coral Slipper (FR) | Dream Again (FR) | Empiric (GB) | Excalibur (FR) | Fitzcarraldo (FR) | Glicourt (FR) | Green Curry (IRE) | Jaguare Precieuse (FR) | Joyeuse Sage (FR) | Karmina Bella (FR) | Kendra (FR) | King Robbe (FR) | Kolplet (FR) | Koutsounakos (GB) | Larno (FR) | Laura Trezy (FR) | Le Central (FR) | Leoparduccio (FR) | Lesslepasser (FR) | Lucky You (FR) | Maavah (FR) | Magic Sword (FR) | My Buddy (FR) | Noble Angel (GB) | Orange Vif (FR) | Oser (IRE) | Prince Des Dunes (FR) | Prince Shalaa (FR) | Ravens Spirit (FR) | Restless Spirit (GB) | Rouvray (GB) | Royalwood (FR) | Savile Row (FR) | True Value (FR) | Tudo Bem (FR) | White Platin (FR) | Zelda Rebel (FR),35,A Lopez | A S & D Allard | A Sagot | B Goudot | B Mohamed | C & Y Lerner | C Pautier | C Plisson | Charlotte Alesi | E Bernhardt | F-X Belvisi | Gianluca Bietolini | Guillaume Courbot | Helmi Boujardine | J Parize | J-L Pelletan | Jean-Raymond Breton | Laura Lemiere | M Boutin | M Krebs | M Nigge | M Swinnens | Maurizio Guarnieri | Mme C Barande-Barbe | Mme Conny Whitfield | Mme G Rarick | Mme M Desvaux | Niels Lantsoght | P Adda | P Adda & F Renaut | Rosine Bouckhuyt | Sofie Lanslots | Sven Schleppi | Yannick Fouin | Yoann Bonnefoy,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,16,15,7,24,partially_shared_courses,Chantilly (FR) (291) | Deauville (FR) (222) | Saint-Cloud (FR) (152) | Longchamp (FR) (98) | Maisons-Laffitte (FR) (20) | Fontainebleau (FR) (3) | Clairefontaine (FR) (2) | Compiegne (FR) (1),Chantilly (FR) (175) | Deauville (FR) (120) | Chantilly (92) | Saint-Cloud (FR) (80) | Deauville (72) | Longchamp (FR) (60) | Saint-Cloud (41) | Longchamp (22),Chantilly (FR) | Compiegne (FR) | Deauville (FR) | Dieppe (FR) | Fontainebleau (FR) | Longchamp (FR) | Saint-Cloud (FR),deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0004,Mlle Perrine Cheyer,Mme Perrine Cheyer,observed_periods_separate,5,0,416,242,658,35,A Stolen Kiss (FR) | Albert Bridge (FR) | Bonnie Hopps (FR) | Boogie (FR) | Bozzo (FR) | Cap Skirring (FR) | Crew Dragon (FR) | Eliite (FR) | Excalibur (FR) | Gardol Moon (FR) | Go For It (FR) | Go Love (FR) | Hot Summer (FR) | Hypnotized (FR) | JAcclame (FR) | Kavakney (BEL) | Kilia (FR) | Kizmambo (IRE) | Koutsounakos (GB) | Kup Davis (FR) | London Way (FR) | Maguro (FR) | Mehgaway (FR) | Milad (FR) | Mitarc (BEL) | Moasa (FR) | My Universe (FR) | Naiade (FR) | Planthalya (FR) | Romanello (FR) | Rum Tum Tugger (FR) | Tallinski (IRE) | Tarcenay (IRE) | Vaydena (FR) | What Else Chop (FR),37,A Brenckle | A S & D Allard | A Sagot | A Schepens | Adrien Fouassier | B Le Regent | B Legros | Brian Beaunez | C Martinon | C Plisson | Frau Doris Ursula Smith | Frau Hella Sauer | G Collet | G Verheye | Gianluca Bietolini | I Endaltsev | J Carayon | J Lebosse | J Leroy | J Parize | J-M Plasschaert | Louis Baudron | M Figge | Mario Baratti | Melanie Van Den Weghe | Michael Schiestel | Michael Stehli | Mme Nathalie Vasutek-Zinck | P Adda & F Renaut | P Baudry | P Decouz | Prescillia Gruber | S Dehez | S Ghys | S Morineau | Sofie Lanslots | Yannick Fouin,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,12,11,5,18,partially_shared_courses,Chantilly (FR) (167) | Deauville (FR) (121) | Saint-Cloud (FR) (70) | Longchamp (FR) (33) | Maisons-Laffitte (FR) (10) | Clairefontaine (FR) (5) | Les Landes (JER) (3) | Compiegne (FR) (2),Chantilly (FR) (74) | Deauville (FR) (66) | Chantilly (30) | Saint-Cloud (FR) (22) | Deauville (15) | Longchamp (FR) (14) | Saint-Cloud (14) | Le Croise-Laroche (FR) (3),Chantilly (FR) | Deauville (FR) | Fontainebleau (FR) | Longchamp (FR) | Saint-Cloud (FR),deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0005,Jack Andrews,Mr Jack Andrews,observed_periods_overlap,0,3296,523,161,684,30,Anariza (FR) | Begin The Luck (IRE) | Boleyn Boy (IRE) | Bonnets Vino (GB) | Boombawn (IRE) | Brave Jen (GB) | Broken Quest (IRE) | Character Testing (GB) | Crackerjack Queen (IRE) | Daytime Dreaming (IRE) | Fransham (GB) | George Darling (IRE) | Gouet Des Bruyeres (FR) | Jet Plane (IRE) | Latenightrumble (GB) | Lenjoleur De Palma (FR) | Lighthouse Mill (IRE) | Lord Sparky (GB) | Power Of Power (IRE) | Riddlestown (IRE) | Sambezi (FR) | Secret Vino (GB) | Smurfette (GB) | Soldiers Leap (IRE) | Takeit Easy (GB) | The Golden Rebel (IRE) | Tigers Moon (GB) | Treacyswestcounty (IRE) | William Cody (GB) | Xcitations (GB),14,Ben Case | Caroline Bailey | Caroline Fryer | Cynthia Woods | Dan Skelton | David Dennis | Henry Oliver | Laura Horsfall | N W Padfield | Oliver Signy | Olly Williams | Pam Sly | T Ellis | Toby Bulgin,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,42,33,32,43,partially_shared_courses,Huntingdon (51) | Southwell (44) | Fakenham (40) | Uttoxeter (30) | Market Rasen (23) | Warwick (23) | Cheltenham (22) | Wetherby (22),Cheltenham (20) | Warwick (15) | Market Rasen (14) | Fontwell (12) | Huntingdon (12) | Bangor-on-Dee (7) | Plumpton (7) | Wetherby (7),Aintree | Ayr | Bangor-on-Dee | Carlisle | Cartmel | Catterick | Cheltenham | Chepstow | Doncaster | Fakenham | Fontwell | Hereford | Hexham | Huntingdon | Kempton | Leicester | Ludlow | Market Rasen | Newbury | Newcastle | Newton Abbot | Perth | Plumpton | Sandown | Sedgefield | Southwell | Stratford | Taunton | Uttoxeter | Warwick | Wetherby | Worcester,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0006,Mlle Ambre Molins,Mme Ambre Molins,observed_periods_separate,14,0,490,420,910,26,Americano (FR) | Auen Adventure (GER) | Dulini (GB) | Freja (FR) | Haaricia (FR) | Impitoyable (FR) | Le Gardolot (FR) | Lunala (FR) | Magnetique (IRE) | Manarola (FR) | Midsummer Dance (USA) | Mondainai (FR) | Monsieurvalchop (FR) | Not So Silly (FR) | Pennywell (FR) | Pitrizza (FR) | Rising Up (FR) | Rosetta Stone (FR) | Rouanita (FR) | Saga Timgad (FR) | Selket (IRE) | Shielding (USA) | Sundayinmay (GER) | Why Chope (FR) | Yollilal (FR) | Zoe (FR),30,B Goudot | B Legros | Brian Beaunez | C Boutin | C Escuder | C Plisson | Caroline Auvray | D De Waele | F Chappet | F-X Belvisi | Frau Hella Sauer | G Pannier | Gianluca Bietolini | H Blume | J Andreu | J Bourgeais | J Parize | Julian Resimont | M Lehmann | Marian Falk Weissmeier | Markus Geisler | Mme Helene Mennessier Martinez | Mme Nathalie Vasutek-Zinck | N Clement | P Sigaud | S Labate | S Morineau | Tim Donworth | Waldemar Hickst | Yoann Bonnefoy,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,16,13,5,24,partially_shared_courses,Deauville (FR) (157) | Chantilly (FR) (155) | Saint-Cloud (FR) (88) | Longchamp (FR) (59) | Maisons-Laffitte (FR) (12) | Cagnes-Sur-Mer (FR) (5) | Clairefontaine (FR) (3) | Lyon Parilly (FR) (3),Deauville (FR) (101) | Chantilly (FR) (79) | Deauville (59) | Chantilly (48) | Longchamp (FR) (45) | Saint-Cloud (FR) (42) | Longchamp (19) | Saint-Cloud (18),Cagnes-Sur-Mer (FR) | Chantilly (FR) | Deauville (FR) | Longchamp (FR) | Saint-Cloud (FR),deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0007,Mr Paddy Hanlon,Paddy Hanlon,observed_periods_separate,13,0,49,544,593,22,A Mere Bagatelle (IRE) | Another Nightmare (IRE) | D Journey Man (IRE) | Dragon Rock (IRE) | Fascinating Shadow (IRE) | Fort Randall (IRE) | Half A Chance (IRE) | Hardy Buck (IRE) | Into The Unknown (IRE) | Lion City (IRE) | Miss Oreo (IRE) | Mullins Cross (IRE) | Pahlavi (IRE) | Phoenix Cowboy (USA) | Quest With Speed (IRE) | Real Empire (GB) | Rodney (IRE) | Sadies Diamond (IRE) | Seasett (GB) | Sefton Warrior (GB) | Sirekoff (IRE) | Topgun Simmy (IRE),3,Anthony McCann | John Joseph Hanlon | Patrick Neville,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,32,58,28,62,partially_shared_courses,Galway (IRE) (6) | Ayr (3) | Listowel (IRE) (3) | Bellewstown (IRE) (2) | Carlisle (2) | Catterick (2) | Clonmel (IRE) (2) | Fairyhouse (IRE) (2),Downpatrick (IRE) (41) | Kilbeggan (IRE) (35) | Wexford (IRE) (34) | Punchestown (IRE) (26) | Limerick (IRE) (25) | Listowel (IRE) (23) | Wincanton (18) | Galway (IRE) (17),Ayr | Bangor-on-Dee | Bellewstown (IRE) | Carlisle | Catterick | Clonmel (IRE) | Cork (IRE) | Down Royal (IRE) | Fairyhouse (IRE) | Galway (IRE) | Gowran Park (IRE) | Kilbeggan (IRE) | Killarney (IRE) | Leopardstown (IRE) | Limerick (IRE) | Listowel (IRE) | Naas (IRE) | Navan (IRE) | Punchestown (IRE) | Roscommon (IRE) | Sligo (IRE) | Stratford | Thurles (IRE) | Tipperary (IRE) | Tramore (IRE) | Warwick | Wexford (IRE) | Worcester,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0008,Mlle Coralie Pacaut,Mme Coralie Pacaut,observed_periods_separate,68,0,1571,326,1897,18,Almazora (FR) | Big Boots (IRE) | Buti (FR) | Cold Play (FR) | Droit De Parole (IRE) | Eternel (FR) | Flamboyante (FR) | Giorgiana (FR) | Give Me Gold (FR) | Gray DAlbion (FR) | Joao (FR) | Khochenko (FR) | Konig Chouchen (FR) | Nosdargent (FR) | Obsess (FR) | Plenty City (FR) | Taal (FR) | Tarahumara Queen (FR),42,A Junk | C Escuder | C Lotoux | D & P ProdHomme | D Artu | D Smaga | E Libaud | Elias Mikhalides | F Vermeulen | F-X Belvisi | Francois Monfort | G Doleuze | G Pannier | Gianluca Bietolini | H Blume | H Fortineau | Ingrid Janackova Koplikova | J Bertin | J Bertran De Balanda | J-C Rouget | J-M Baudrelle | J-M Beguigne | J-V Toux | M Boutin | M Cesandri | Maurizio Guarnieri | Mme C Barande-Barbe | Mme F Chenu | Mme G Rarick | Mme Stephanie Jaffrelot-Bedon | Nicolas Le Roch | O Regley | P Adda | P Cottier | P Nicot | Pauline Menges | Roberto-Carlos Montenegro | S Wattel | Sofie Lanslots | Thibaut Richard | Tim Donworth | Y Barberot,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,26,15,7,34,partially_shared_courses,Deauville (FR) (477) | Chantilly (FR) (450) | Saint-Cloud (FR) (249) | Longchamp (FR) (189) | Maisons-Laffitte (FR) (124) | Cagnes-Sur-Mer (FR) (14) | Clairefontaine (FR) (14) | Le Croise-Laroche (FR) (6),Deauville (FR) (106) | Chantilly (FR) (63) | Saint-Cloud (FR) (43) | Longchamp (FR) (41) | Deauville (27) | Chantilly (17) | Saint-Cloud (11) | Longchamp (8),Chantilly (FR) | Deauville (FR) | Fontainebleau (FR) | La Teste De Buch (FR) | Longchamp (FR) | Saint-Cloud (FR) | Vichy (FR),deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0009,Mr Tristan Durrell,Tristan Durrell,observed_periods_overlap,0,1155,114,748,862,17,Calico (GER) | Dazzling Glory (IRE) | Faivoir (FR) | Farmers Gamble (GB) | Ferrobin (IRE) | Gentle Connections (GB) | Get On The Yager (GB) | Global Famenglory (IRE) | Go Steady (GB) | Marracudja (FR) | Moores Novelty (IRE) | Not That Fuisse (FR) | One For Billy (GB) | Ridgeway (FR) | Sofias Rock (FR) | Starsky (IRE) | West To The Bridge (IRE),8,Dan Skelton | David Brace | Ewan Whillans | Max Young | Milton Harris | N A Pearce | Suzy Smith | Tim Vaughan,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,33,41,31,43,partially_shared_courses,Fakenham (9) | Uttoxeter (9) | Cheltenham (7) | Stratford (7) | Doncaster (6) | Huntingdon (6) | Warwick (6) | Ludlow (5),Warwick (53) | Uttoxeter (42) | Doncaster (32) | Ludlow (32) | Chepstow (31) | Worcester (30) | Market Rasen (29) | Plumpton (28),Aintree | Ascot | Bangor-on-Dee | Carlisle | Catterick | Cheltenham | Chepstow | Doncaster | Exeter | Fakenham | Fontwell | Haydock | Hereford | Huntingdon | Kelso | Kempton | Leicester | Lingfield | Ludlow | Market Rasen | Newbury | Newton Abbot | Plumpton | Sandown | Southwell | Stratford | Taunton | Uttoxeter | Warwick | Wincanton | Worcester,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0010,Alice Stevens,Miss Alice Stevens,observed_periods_separate,14,0,338,168,506,16,Braganza Bay (GB) | Bretney (IRE) | Bridge North (IRE) | Buto (GB) | Earcomesbob (GB) | Earcomessue (GB) | Emma Hamilton (IRE) | Gustoso (GB) | Jimmy The Digger (GB) | Lily Glitters (GB) | Minniemum (GB) | Rapper (GB) | Regal Renaissance (GB) | Supreme Gift (IRE) | The Wrekin (IRE) | Time In The Sun (IRE),16,Alexandra Dunn | B F Brookhouse | Claire Dyson | David Pipe | Harry Derham | Helen Nelmes | Henry Daly | Ian Williams | Micky Hammond | Oliver Greenall & Josh Guerriero | Peter Pritchard | Robert Waley-Cohen | Ryan Potter | Sam England | Sandy Thomson | Tom Weston,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,42,51,32,61,partially_shared_courses,Market Rasen (31) | Wetherby (22) | Doncaster (18) | Warwick (18) | Sedgefield (16) | Uttoxeter (14) | Catterick (13) | Hexham (13),Ludlow (17) | Cheltenham (14) | Stratford (14) | Market Rasen (9) | Cartmel (8) | Huntingdon (8) | Hereford (6) | Catterick (5),Aintree | Ascot | Bangor-on-Dee | Cartmel | Catterick | Cheltenham | Chepstow | Doncaster | Exeter | Fakenham | Ffos Las | Hereford | Hexham | Huntingdon | Kelso | Kempton | Leicester | Lingfield | Ludlow | Market Rasen | Newbury | Newcastle | Newton Abbot | Perth | Sandown | Southwell | Stratford | Taunton | Uttoxeter | Warwick | Wincanton | Worcester,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0011,Mlle Maryline Eon,Mme Maryline Eon,observed_periods_separate,5,0,551,249,800,15,Antharis (GB) | Cream Ice (GB) | Great Charlie (FR) | Ippling (FR) | Kamaro DHuez (FR) | Lou Balicot (FR) | Madras (IRE) | Marshall Lessing (FR) | Nordeste (FR) | Plateado (FR) | Prince Des Dunes (FR) | Uchronie (FR) | Vote For Pedro (FR) | Zeyzoun (FR) | Zippere (FR),31,A & G Botti | A Baron | A Sanchez-Martin | Adrien Fouassier | Alain Couetil | B Audouin | B Legros | C Blin | C Lotoux | C Plisson | D Chenu | D De Watrigant | Edouard Monfort | F Vermeulen | Francois Monfort | Gavin Hernon | H-F Devin | Hiroo Shimizu | J Boisnard | J Bourgeais | M Alonso Roldan | M Brasme | M Delcher Sanchez | M Nigge | Maurizio Guarnieri | Mme C Barande-Barbe | Mme S Gavilan | N Bellanger | N Caullery | S Caceres | Simone Brogi,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,25,5,4,26,partially_shared_courses,Deauville (FR) (218) | Chantilly (FR) (117) | Saint-Cloud (FR) (97) | Longchamp (FR) (49) | Maisons-Laffitte (FR) (26) | Nantes (FR) (6) | Craon (FR) (4) | Fontainebleau (FR) (4),Deauville (FR) (115) | Chantilly (FR) (85) | Saint-Cloud (FR) (31) | Longchamp (FR) (16) | Cagnes-Sur-Mer (FR) (2),Chantilly (FR) | Deauville (FR) | Longchamp (FR) | Saint-Cloud (FR),deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0012,Freddie Gordon,Mr Freddie Gordon,observed_periods_separate,33,0,394,95,489,15,Annual Invictus (IRE) | Baddesley (IRE) | Bentleys Return (IRE) | Blame The Game (IRE) | Coolvalla (IRE) | Id Like To Know (IRE) | Invictus De Brion (FR) | Kayf Legend (GB) | Press Your Luck (IRE) | Ramore Will (IRE) | Red Windsor (IRE) | Sami Bear (GB) | Stanley Pincombe (IRE) | Unanswered Prayers (IRE) | Who Is That (IRE),1,Chris Gordon,,,,,,,,not_checked,,,,,not_checked,unresolved,,,not_started,,,,,,preserve_raw_unresolved,34,33,23,44,partially_shared_courses,Plumpton (75) | Fontwell (52) | Newbury (34) | Kempton (30) | Cheltenham (21) | Ascot (19) | Warwick (19) | Huntingdon (16),Fontwell (15) | Plumpton (13) | Cheltenham (6) | Lingfield (6) | Warwick (6) | Chepstow (4) | Kempton (4) | Worcester (4),Cartmel | Cheltenham | Chepstow | Exeter | Fakenham | Ffos Las | Fontwell | Kelso | Kempton | Leicester | Lingfield | Ludlow | Newbury | Newton Abbot | Plumpton | Sandown | Southwell | Stratford | Taunton | Warwick | Wincanton | Windsor | Worcester,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
