metric,value,status
governed_runner_rows,1851285,confirmed
distinct_populated_raw_owner_labels,98234,confirmed
raw_blank_owner_rows,35,governed_by_notebook_20
confirmed_owner_supplementations,22,inherited_from_notebook_20
preserved_unresolved_blank_owner_rows,13,inherited_from_notebook_20
token_multiset_candidate_groups,936,candidate_generation
accepted_provisional_composition_groups,41,same_race_source_evidence
accepted_raw_owner_labels,95,mapped
accepted_mapped_runner_rows,9788,mapped
unresolved_token_multiset_groups,895,preserve_raw_unresolved
unresolved_candidate_raw_labels,1822,preserve_raw_unresolved
unresolved_candidate_runner_rows,24406,preserve_raw_unresolved
