provisional_owner_composition_id,raw_owner_label,runner_rows,provisional_races,first_date,last_date
OWNER-COMPOSITION-PROVISIONAL-0001,E A Budlender B A Bracher M R Bracher Et Al,5,5,2019-02-02,2020-03-22
OWNER-COMPOSITION-PROVISIONAL-0001,B A Bracher M R Bracher E A Budlender Et Al,1,1,2020-03-22,2020-03-22
OWNER-COMPOSITION-PROVISIONAL-0002,A G Beatty P Mcbride Mrs Peter Casey Mrs Paula Casey,43,43,2020-11-07,2026-01-12
OWNER-COMPOSITION-PROVISIONAL-0002,Mrs Peter Casey P Mcbride A G Beatty Mrs Paula Casey,22,22,2021-04-05,2024-04-26
OWNER-COMPOSITION-PROVISIONAL-0003,T Lavalle J White A Bertuccio,5,5,2021-02-06,2023-11-18
OWNER-COMPOSITION-PROVISIONAL-0003,T Lavalle A Bertuccio J White,2,2,2023-11-04,2023-11-18
OWNER-COMPOSITION-PROVISIONAL-0004,M G Poletti Ms A M Turner,21,19,2015-03-05,2018-04-21
OWNER-COMPOSITION-PROVISIONAL-0004,Ms A M Turner M G Poletti,1,1,2015-04-02,2015-04-02
OWNER-COMPOSITION-PROVISIONAL-0005,Amo Racing Limited Giselle De Aguiar,302,283,2022-03-27,2026-05-26
OWNER-COMPOSITION-PROVISIONAL-0005,Giselle De Aguiar Amo Racing Limited,8,7,2025-02-21,2026-05-03
OWNER-COMPOSITION-PROVISIONAL-0006,Aishling Oneill Mrs Janeanne Oneill,15,15,2020-07-29,2023-04-22
OWNER-COMPOSITION-PROVISIONAL-0006,Mrs Janeanne Oneill Aishling Oneill,5,5,2020-07-29,2021-04-15
OWNER-COMPOSITION-PROVISIONAL-0007,Khalifa Bin Sheail Al Kuwari,111,70,2015-05-14,2025-12-20
OWNER-COMPOSITION-PROVISIONAL-0007,Sheail Bin Khalifa Al Kuwari,35,30,2017-07-02,2022-12-29
OWNER-COMPOSITION-PROVISIONAL-0008,Winstar Farm Llc China Horse Club Et Al,16,14,2017-03-18,2019-03-30
OWNER-COMPOSITION-PROVISIONAL-0008,China Horse Club Winstar Farm Llc Et Al,5,5,2018-05-05,2019-08-03
OWNER-COMPOSITION-PROVISIONAL-0009,Christian Trecco Frederic Dezzutto Et Al,21,21,2022-05-31,2025-10-25
OWNER-COMPOSITION-PROVISIONAL-0009,Frederic Dezzutto Christian Trecco Et Al,10,10,2023-08-22,2026-05-05
OWNER-COMPOSITION-PROVISIONAL-0010,Coolmore Wynaus Et Al,111,102,2020-11-07,2026-03-07
OWNER-COMPOSITION-PROVISIONAL-0010,Wynaus Coolmore Et Al,7,7,2025-02-22,2025-09-13
OWNER-COMPOSITION-PROVISIONAL-0011,Madaket Stables Llc Michael Dubb Et Al,68,59,2018-11-23,2026-04-10
OWNER-COMPOSITION-PROVISIONAL-0011,Michael Dubb Madaket Stables Llc Et Al,42,41,2018-08-19,2023-10-08
OWNER-COMPOSITION-PROVISIONAL-0012,Samuel M Mencoff Anthony Paul Smurfit,45,45,2022-04-06,2026-05-26
OWNER-COMPOSITION-PROVISIONAL-0012,Anthony Paul Smurfit Samuel M Mencoff,21,21,2021-11-26,2026-05-09
OWNER-COMPOSITION-PROVISIONAL-0013,Sebastien Morineau Mlle Virginie Beugnon,15,15,2021-01-09,2023-12-22
OWNER-COMPOSITION-PROVISIONAL-0013,Mlle Virginie Beugnon Sebastien Morineau,2,2,2021-06-20,2022-03-31
OWNER-COMPOSITION-PROVISIONAL-0014,Owen Daley John J Brennan Coragh Bloodstock Limited,3,3,2025-09-18,2025-10-29
OWNER-COMPOSITION-PROVISIONAL-0014,John J Brennan Owen Daley Coragh Bloodstock Limited,2,2,2025-09-18,2025-10-18
OWNER-COMPOSITION-PROVISIONAL-0015,The Bottom Liners Paul Saxton,68,68,2015-03-25,2019-07-05
OWNER-COMPOSITION-PROVISIONAL-0015,Paul Saxton The Bottom Liners,59,59,2015-04-06,2019-11-30
OWNER-COMPOSITION-PROVISIONAL-0016,Tim Syder Dominic Burke,31,31,2018-11-21,2022-05-25
OWNER-COMPOSITION-PROVISIONAL-0016,Dominic Burke Tim Syder,23,23,2020-12-17,2022-04-14
OWNER-COMPOSITION-PROVISIONAL-0017,Syders Burkes,122,121,2022-10-15,2026-04-28
OWNER-COMPOSITION-PROVISIONAL-0017,Burkes Syders,119,118,2022-10-14,2026-04-22
OWNER-COMPOSITION-PROVISIONAL-0018,Mrs Caren Walsh Dee Lestrange,33,33,2022-04-26,2024-12-10
OWNER-COMPOSITION-PROVISIONAL-0018,Dee Lestrange Mrs Caren Walsh,8,8,2023-04-08,2023-09-18
OWNER-COMPOSITION-PROVISIONAL-0019,Carol Hogan Eric Newnham,74,74,2015-01-31,2023-08-23
OWNER-COMPOSITION-PROVISIONAL-0019,Eric Newnham Carol Hogan,55,55,2015-01-21,2023-10-01
OWNER-COMPOSITION-PROVISIONAL-0020,Paul Normand Freddy Normand Nicolas Caullery,16,16,2022-03-09,2023-02-16
