provisional_trainer_id,label_role,runner_rows,provisional_races,first_date,last_date
TRAINER-PROVISIONAL-0001,earlier_mlle_label,154,152,2020-08-08,2023-12-29
TRAINER-PROVISIONAL-0001,later_mme_label,205,197,2024-01-13,2026-05-24
TRAINER-PROVISIONAL-0002,earlier_mlle_label,262,255,2018-03-13,2023-12-28
TRAINER-PROVISIONAL-0002,later_mme_label,149,139,2024-01-05,2026-05-24
TRAINER-PROVISIONAL-0003,earlier_mlle_label,318,306,2019-07-03,2023-12-30
TRAINER-PROVISIONAL-0003,later_mme_label,89,88,2024-01-13,2025-11-21
TRAINER-PROVISIONAL-0004,earlier_mlle_label,355,329,2015-03-29,2023-12-02
TRAINER-PROVISIONAL-0004,later_mme_label,201,183,2024-02-08,2026-05-26
TRAINER-PROVISIONAL-0005,earlier_mlle_label,51,51,2015-10-19,2023-12-29
TRAINER-PROVISIONAL-0005,later_mme_label,5,5,2024-02-16,2024-08-10
TRAINER-PROVISIONAL-0006,earlier_mlle_label,197,178,2015-03-17,2023-12-06
TRAINER-PROVISIONAL-0006,later_mme_label,36,31,2024-02-23,2026-05-12
TRAINER-PROVISIONAL-0007,earlier_mlle_label,16,16,2021-03-07,2023-11-30
TRAINER-PROVISIONAL-0007,later_mme_label,36,33,2024-01-12,2026-04-02
TRAINER-PROVISIONAL-0008,earlier_mlle_label,3,3,2023-05-12,2023-10-29
TRAINER-PROVISIONAL-0008,later_mme_label,1,1,2024-03-12,2024-03-12
TRAINER-PROVISIONAL-0009,earlier_mlle_label,23,23,2022-07-21,2023-12-03
TRAINER-PROVISIONAL-0009,later_mme_label,103,101,2024-03-09,2026-05-17
TRAINER-PROVISIONAL-0010,earlier_mlle_label,94,91,2016-05-18,2023-12-26
TRAINER-PROVISIONAL-0010,later_mme_label,66,59,2024-01-06,2026-04-17
TRAINER-PROVISIONAL-0011,earlier_mlle_label,224,214,2015-03-25,2023-11-12
TRAINER-PROVISIONAL-0011,later_mme_label,32,32,2024-03-09,2026-04-25
TRAINER-PROVISIONAL-0012,earlier_mlle_label,193,192,2016-10-05,2023-12-30
TRAINER-PROVISIONAL-0012,later_mme_label,89,88,2024-01-12,2026-05-24
TRAINER-PROVISIONAL-0013,earlier_mlle_label,170,164,2020-08-06,2023-12-26
TRAINER-PROVISIONAL-0013,later_mme_label,140,133,2024-01-06,2026-05-22
TRAINER-PROVISIONAL-0014,earlier_mlle_label,210,193,2015-02-26,2023-12-26
TRAINER-PROVISIONAL-0014,later_mme_label,22,19,2024-03-28,2026-05-19
TRAINER-PROVISIONAL-0015,earlier_mlle_label,13,13,2017-04-16,2023-08-10
TRAINER-PROVISIONAL-0015,later_mme_label,1,1,2024-05-09,2024-05-09
TRAINER-PROVISIONAL-0016,earlier_mlle_label,70,68,2015-05-13,2023-08-06
TRAINER-PROVISIONAL-0016,later_mme_label,18,18,2024-03-12,2026-01-29
TRAINER-PROVISIONAL-0017,earlier_mlle_label,18,17,2021-05-09,2023-12-29
TRAINER-PROVISIONAL-0017,later_mme_label,32,32,2024-01-12,2025-12-13
TRAINER-PROVISIONAL-0018,earlier_mlle_label,8,8,2022-12-20,2023-12-29
TRAINER-PROVISIONAL-0018,later_mme_label,17,17,2024-06-02,2026-03-26
TRAINER-PROVISIONAL-0019,earlier_mlle_label,231,223,2015-09-25,2023-12-29
TRAINER-PROVISIONAL-0019,later_mme_label,1,1,2024-04-11,2024-04-11
TRAINER-PROVISIONAL-0020,earlier_mlle_label,105,102,2015-07-02,2023-12-22
TRAINER-PROVISIONAL-0020,later_mme_label,12,12,2024-06-20,2025-11-14
TRAINER-PROVISIONAL-0021,earlier_mlle_label,5,5,2023-04-03,2023-09-09
TRAINER-PROVISIONAL-0021,later_mme_label,16,16,2024-03-08,2026-03-03
TRAINER-PROVISIONAL-0022,earlier_mlle_label,298,293,2020-02-20,2023-12-30
TRAINER-PROVISIONAL-0022,later_mme_label,158,155,2024-01-05,2026-05-12
TRAINER-PROVISIONAL-0023,earlier_mlle_label,92,92,2018-01-15,2023-12-22
TRAINER-PROVISIONAL-0023,later_mme_label,110,106,2024-01-06,2026-05-15
TRAINER-PROVISIONAL-0024,earlier_mlle_label,588,534,2015-01-03,2023-12-26
TRAINER-PROVISIONAL-0024,later_mme_label,159,145,2024-01-05,2026-05-15
TRAINER-PROVISIONAL-0025,earlier_mlle_label,74,74,2022-04-15,2023-12-29
TRAINER-PROVISIONAL-0025,later_mme_label,306,295,2024-01-13,2026-05-22
TRAINER-PROVISIONAL-0026,earlier_mlle_label,377,344,2015-04-15,2023-12-30
TRAINER-PROVISIONAL-0026,later_mme_label,197,177,2024-01-06,2026-05-21
