strict_comparison_key,left_raw_trainer_label,right_raw_trainer_label,left_title,right_title,left_first_date,left_last_date,right_first_date,right_last_date,left_runner_rows,right_runner_rows,title_structure,title_sequence,chronology_status,transition_gap_days,identity_relationship,decision_basis,confidence,mapping_method,database_action
a fabre,A Fabre,Mme A Fabre,,Mme,2015-02-25,2026-05-24,2015-11-02,2026-05-07,5037,58,titled_and_untitled,untitled_then_titled,active_period_overlap,,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
annabelle sowray,Miss Annabelle Sowray,Annabelle Sowray,Miss,,2021-02-16,2021-03-03,2025-05-03,2026-05-25,2,26,titled_and_untitled,titled_then_untitled,separate_active_periods,1522.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
belinda clarke,Mrs Belinda Clarke,Belinda Clarke,Mrs,,2015-03-29,2022-02-11,2023-10-08,2026-05-24,3,77,titled_and_untitled,titled_then_untitled,separate_active_periods,604.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
c chenu,Mlle C Chenu,Mme C Chenu,Mlle,Mme,2015-02-22,2024-01-26,2024-04-28,2024-06-06,14,4,two_titled_labels,mlle_then_mme,separate_active_periods,93.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
c herisson de beauvoir,Mlle C Herisson De Beauvoir,Mme C Herisson De Beauvoir,Mlle,Mme,2018-06-11,2023-12-16,2024-11-24,2025-11-30,11,5,two_titled_labels,mlle_then_mme,separate_active_periods,344.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
c walton,Mrs C Walton,Miss C Walton,Mrs,Miss,2015-05-02,2016-05-29,2019-04-23,2019-05-27,4,4,two_titled_labels,other_title_sequence,separate_active_periods,1059.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
delphine domminger,Mlle Delphine Domminger,Mme Delphine Domminger,Mlle,Mme,2021-06-13,2023-06-11,2024-06-21,2026-04-14,8,10,two_titled_labels,mlle_then_mme,separate_active_periods,376.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
emma oliver,Ms Emma Oliver,Mrs Emma Oliver,Ms,Mrs,2015-01-07,2015-05-12,2016-03-24,2017-06-09,4,9,two_titled_labels,other_title_sequence,separate_active_periods,317.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
g meijer,Mlle G Meijer,Mme G Meijer,Mlle,Mme,2017-05-22,2023-02-06,2025-12-11,2025-12-11,14,1,two_titled_labels,mlle_then_mme,separate_active_periods,1039.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
georgina nicholls,Ms Georgina Nicholls,Georgina Nicholls,Ms,,2021-03-03,2023-04-26,2023-06-02,2026-05-26,14,276,titled_and_untitled,titled_then_untitled,separate_active_periods,37.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
j-f bernard,J-F Bernard,Mme J-F Bernard,,Mme,2015-03-17,2019-11-26,2016-03-10,2023-02-10,4,19,titled_and_untitled,untitled_then_titled,active_period_overlap,,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
jane williams,Mrs Jane Williams,Jane Williams,Mrs,,2015-01-07,2022-10-23,2022-08-08,2026-05-06,308,548,titled_and_untitled,titled_then_untitled,active_period_overlap,,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
john dawson,John Dawson,Mrs John Dawson,,Mrs,2017-05-06,2026-05-25,2024-05-11,2026-05-19,39,4,titled_and_untitled,untitled_then_titled,active_period_overlap,,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
jonjo oneill,Jonjo ONeill,Mrs Jonjo ONeill,,Mrs,2015-01-01,2024-04-30,2020-02-05,2024-05-03,5185,6,titled_and_untitled,untitled_then_titled,active_period_overlap,,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
l pontoir,Mlle L Pontoir,Mme L Pontoir,Mlle,Mme,2021-03-10,2024-01-13,2024-01-05,2026-05-26,218,311,two_titled_labels,mlle_then_mme,active_period_overlap,,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
lucinda hughes,Mrs Lucinda Hughes,Lucinda Hughes,Mrs,,2024-01-14,2024-05-26,2024-11-12,2026-04-04,4,29,titled_and_untitled,titled_then_untitled,separate_active_periods,170.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
m bruere,Mlle M Bruere,Mme M Bruere,Mlle,Mme,2018-11-20,2024-01-12,2024-01-26,2026-01-08,15,11,two_titled_labels,mlle_then_mme,separate_active_periods,14.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
m-c thanry,Mlle M-C Thanry,Mme M-C Thanry,Mlle,Mme,2018-04-18,2018-04-18,2025-05-18,2025-05-18,1,1,two_titled_labels,mlle_then_mme,separate_active_periods,2587.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
n volz-degel,Frau N Volz-Degel,N Volz-Degel,Frau,,2021-10-05,2021-11-05,2022-10-23,2022-10-23,2,1,titled_and_untitled,titled_then_untitled,separate_active_periods,352.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
s audoy,Mlle S Audoy,Mme S Audoy,Mlle,Mme,2016-09-15,2023-01-25,2025-03-31,2026-04-24,9,2,two_titled_labels,mlle_then_mme,separate_active_periods,796.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
s j stearn,S J Stearn,Mrs S J Stearn,,Mrs,2015-04-06,2015-04-06,2017-04-17,2017-04-17,1,1,titled_and_untitled,untitled_then_titled,separate_active_periods,742.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
s mestries,Mlle S Mestries,Mme S Mestries,Mlle,Mme,2019-02-12,2021-06-07,2025-09-10,2025-09-10,6,1,two_titled_labels,mlle_then_mme,separate_active_periods,1556.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
sara vermeersch,Mlle Sara Vermeersch,Mme Sara Vermeersch,Mlle,Mme,2023-01-21,2023-06-29,2024-02-29,2026-04-24,8,20,two_titled_labels,mlle_then_mme,separate_active_periods,245.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
