candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Kempton (AW),Great Britain,4787,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Lingfield (AW),Great Britain,4489,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Sha Tin,Hong Kong,4160,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Dundalk (AW),Ireland,3318,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Happy Valley,Hong Kong,2687,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Saint-Cloud,France,2558,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Ayr,Great Britain,2229,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Chepstow,Great Britain,2225,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Haydock,Great Britain,2166,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Catterick,Great Britain,1909,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Curragh,Ireland,1743,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Ascot,Great Britain,1734,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Fairyhouse,Ireland,1660,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Brighton,Great Britain,1477,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Market Rasen,Great Britain,1470,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Gowran Park,Ireland,1446,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Lingfield,Great Britain,1385,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Limerick,Ireland,1357,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,1
Meydan,United Arab Emirates,1320,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Hamilton,Great Britain,1280,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
