candidate_course_label,candidate_jurisdiction,exact_query,result_index,provider_place_id,provider_name,provider_display_name,country_code_match,course_name_match,racecourse_name_match,provider_object_match,suspicious_name_match,automatic_eligible,provider_class,provider_type,course_decision,decision_reason
Kempton (AW),Great Britain,"Kempton racecourse, United Kingdom",0,node:565754665,Kempton Park Racecourse,"Kempton Park Racecourse, Staines Road East, Kempton Park, Borough of Spelthorne, Surrey, England, TW16 5DY, United Kingdom",True,True,True,False,False,False,highway,bus_stop,manual_review_required,No returned object passed every conservative automatic acceptance check.
Kempton (AW),Great Britain,"Kempton racecourse, United Kingdom",1,node:565754664,Kempton Park Racecourse,"Kempton Park Racecourse, Staines Road East, Kempton Park, Borough of Spelthorne, Surrey, England, TW16 5PA, United Kingdom",True,True,True,False,False,False,highway,bus_stop,manual_review_required,No returned object passed every conservative automatic acceptance check.
Lingfield (AW),Great Britain,"Lingfield racecourse, United Kingdom",0,node:565760427,Lingfield Racecourse,"Lingfield Racecourse, Racecourse Road, Lingfield, Dormansland, Tandridge, Surrey, England, RH7 6GF, United Kingdom",True,True,True,False,False,False,highway,bus_stop,manual_review_required,No returned object passed every conservative automatic acceptance check.
Dundalk (AW),Ireland,"Dundalk racecourse, Ireland",0,way:260443396,Dundalk Stadium,"Dundalk Stadium, Inner Relief Road, Dundalk Rural ED, The Municipal District of Dundalk, County Louth, Leinster, A91 FFP3, Ireland",True,True,False,False,False,False,building,yes,manual_review_required,No returned object passed every conservative automatic acceptance check.
Saint-Cloud,France,"Saint-Cloud hippodrome, France",0,node:7466433229,Saint-Cloud - Hippodrome,"Saint-Cloud - Hippodrome, Avenue de Saint-Cloud, Quartier d'Auteuil, 16th Arrondissement, Paris, Ile-de-France, Metropolitan France, 75016, France",True,True,True,False,False,False,amenity,bicycle_rental,manual_review_required,No returned object passed every conservative automatic acceptance check.
Ayr,Great Britain,"Ayr racecourse, United Kingdom",0,way:118043629,Ayr Racecourse,"Ayr Racecourse, Dalmilling Drive, Dalmilling, Prestwick, South Ayrshire, Scotland, KA8 0QP, United Kingdom",True,True,True,True,False,True,leisure,sports_centre,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Ayr,Great Britain,"Ayr racecourse, United Kingdom",1,relation:1628410,Ayr Racecourse,"Ayr Racecourse, Mainholm Court, Dalmilling, Prestwick, South Ayrshire, Scotland, KA8 0RN, United Kingdom",True,True,True,True,False,True,leisure,track,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Chepstow,Great Britain,"Chepstow racecourse, United Kingdom",0,way:86003181,Chepstow Avenue,"Chepstow Avenue, Sale West, Broadheath, West Timperley, Trafford, Greater Manchester, England, M33 4QP, United Kingdom",True,True,False,False,False,False,highway,residential,manual_review_required,No returned object passed every conservative automatic acceptance check.
Haydock,Great Britain,"Haydock racecourse, United Kingdom",0,relation:17744310,Haydock Park Racecourse,"Haydock Park Racecourse, M6, Old Boston, Haydock, St Helens, Liverpool City Region, England, WA11 9DT, United Kingdom",True,True,True,True,False,True,leisure,sports_centre,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Haydock,Great Britain,"Haydock racecourse, United Kingdom",1,relation:1658342,Haydock Park Racecourse,"Haydock Park Racecourse, Oakfield Avenue, Stubshaw Cross, Edge Green, Wigan, Greater Manchester, England, WA3 3QT, United Kingdom",True,True,True,True,False,True,leisure,track,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Haydock,Great Britain,"Haydock racecourse, United Kingdom",2,node:533844173,LODGE LN/HAYDOCK RACECOURSE,"LODGE LN/HAYDOCK RACECOURSE, Lodge Lane, Old Boston, Haydock, St Helens, Liverpool City Region, England, WA12 0JF, United Kingdom",True,True,True,False,False,False,highway,bus_stop,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Catterick,Great Britain,"Catterick racecourse, United Kingdom",0,way:358674072,Catterick Racecourse,"Catterick Racecourse, Catterick Bridge Cycleway, Catterick Bridge, Brough with St. Giles, Brompton-on-Swale, North Yorkshire, York and North Yorkshire, England, DL10 7HW, United Kingdom",True,True,True,True,False,True,leisure,sports_centre,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Catterick,Great Britain,"Catterick racecourse, United Kingdom",1,relation:7832717,Catterick Racecourse,"Catterick Racecourse, Catterick Bridge Cycleway, Catterick Bridge, Brough with St. Giles, Brompton-on-Swale, North Yorkshire, York and North Yorkshire, England, DL10 7HW, United Kingdom",True,True,True,True,False,True,leisure,track,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Curragh,Ireland,"Curragh racecourse, Ireland",0,way:540395989,Curragh Racecourse Entrance,"Curragh Racecourse Entrance, R413, Kildare ED, The Municipal District of Kildare — Newbridge, County Kildare, Leinster, Ireland",True,True,True,False,False,False,building,yes,manual_review_required,No returned object passed every conservative automatic acceptance check.
Ascot,Great Britain,"Ascot racecourse, United Kingdom",0,relation:17572746,Ascot Racecourse,"Ascot Racecourse, King Edwards Road, Chavey Down, Winkfield, Bracknell Forest, England, SL5 8PY, United Kingdom",True,True,True,True,False,True,leisure,sports_centre,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
