candidate_course_label,candidate_jurisdiction,provisional_races,official_venue_name,street_address,locality,region,postal_code,country,latitude,longitude,iana_timezone,venue_status,former_or_alternative_name,manual_review_confidence,manual_review_note,source_urls
Saratoga,United States,528,Saratoga Race Course,267 Union Avenue,Saratoga Springs,New York,12866,United States,,,America/New_York,active,,high,Exact established venue and official NYRA address.,https://www.nyra.com/saratoga/visit/
Rosehill,Australia,472,Rosehill Gardens Racecourse,James Ruse Drive,Rosehill,New South Wales,2142,Australia,,,Australia/Sydney,active,Rosehill Gardens,high,Exact ATC venue; source label is a shortened name.,https://www.australianturfclub.com.au/contact-us/
Keeneland,United States,409,Keeneland Race Course,4201 Versailles Road,Lexington,Kentucky,40510,United States,,,America/New_York,active,,high,Exact established venue in Lexington.,https://www.keeneland.com/
Will Rogers Downs,United States,178,Will Rogers Downs,20900 South 4200 Road,Claremore,Oklahoma,74019,United States,,,America/Chicago,active,,high,Exact venue in northeastern Oklahoma.,https://www.cherokeecasino.com/will-rogers-downs
Eagle Farm,Australia,166,Eagle Farm Racecourse,230 Lancaster Road,Ascot,Queensland,4007,Australia,,,Australia/Brisbane,active,,high,Exact Brisbane Racing Club venue.,https://www.brc.com.au/venues/eagle-farm-racecourse
Oaklawn Park,United States,157,Oaklawn Racing Casino Resort,2705 Central Avenue,Hot Springs,Arkansas,71901,United States,,,America/Chicago,active,Oaklawn Park,high,Current official name; source uses historic racing name.,https://www.oaklawn.com/
Gavea,Brazil,136,Hipódromo da Gávea,"Praça Santos Dumont, 31",Rio de Janeiro,Rio de Janeiro,22470-060,Brazil,,,America/Sao_Paulo,active,Gávea,high,Exact Jockey Club Brasileiro venue.,https://www.jcb.com.br/
Fair Grounds,United States,112,Fair Grounds Race Course & Slots,1751 Gentilly Boulevard,New Orleans,Louisiana,70119,United States,,,America/Chicago,active,,high,Exact New Orleans venue.,https://www.fairgroundsracecourse.com/
Tampa Bay Downs,United States,107,Tampa Bay Downs,11225 Race Track Road,Tampa,Florida,33626,United States,,,America/New_York,active,,high,Exact venue and official visitor address.,https://www.tampabaydowns.com/visitor-info/about-tbd/
Pimlico,United States,100,Pimlico Race Course,5201 Park Heights Avenue,Baltimore,Maryland,21215,United States,,,America/New_York,active,,high,Exact Maryland Jockey Club venue.,https://www.pimlico.com/
Kentucky Downs,United States,86,Kentucky Downs,5629 Nashville Road,Franklin,Kentucky,42134,United States,,,America/Chicago,active,Dueling Grounds,high,Exact venue; Franklin is in Kentucky's Central Time area.,https://www.kentuckydowns.com/
Parx,United States,85,Parx Racing,2999 Street Road,Bensalem,Pennsylvania,19020,United States,,,America/New_York,active,Philadelphia Park,high,Current official racing name.,https://www.parxracing.com/
Newcastle,Australia,77,Newcastle Racecourse,Darling Street,Broadmeadow,New South Wales,2292,Australia,,,Australia/Sydney,active,,high,"Australian Newcastle venue, not Newcastle upon Tyne.",https://www.newcastleracecourse.com.au/contact-us/
Laurel Park,United States,71,Laurel Park,198 Race Track Road,Laurel,Maryland,20725,United States,,,America/New_York,active,,high,Exact Maryland Jockey Club physical address.,https://www.laurelpark.com/visitors/general-information
Fonner Park,United States,68,Fonner Park,700 East Stolley Park Road,Grand Island,Nebraska,68801,United States,,,America/Chicago,active,,high,Exact Grand Island venue.,https://www.fonnerpark.com/
Golden Gate Fields,United States,54,Golden Gate Fields,1100 Eastshore Highway,Berkeley,California,94710,United States,,,America/Los_Angeles,closed,,high,Venue closed in 2024; location retained for historic races.,https://en.wikipedia.org/wiki/Golden_Gate_Fields
Delaware Park,United States,49,Delaware Park Racetrack,777 Delaware Park Boulevard,Wilmington,Delaware,19804,United States,,,America/New_York,active,,high,Exact venue.,https://delawarepark.com/
Los Alamitos,United States,48,Los Alamitos Race Course,4961 Katella Avenue,Los Alamitos,California,90720,United States,,,America/Los_Angeles,active,,high,Exact venue.,https://www.losalamitos.com/Info.aspx
Indiana Grand,United States,40,Horseshoe Indianapolis Racing & Casino,4300 North Michigan Road,Shelbyville,Indiana,46176,United States,,,America/Indiana/Indianapolis,active,Indiana Grand; Indiana Downs,high,Source label is a former venue name.,https://www.caesars.com/horseshoe-indianapolis/racing
Kembla Grange,Australia,38,Kembla Grange Racecourse,629 Kembla Grange Place,Kembla Grange,New South Wales,2526,Australia,,,Australia/Sydney,active,,high,Exact Illawarra Turf Club venue.,https://www.illawarraturf.com.au/
Hawkesbury,Australia,33,Hawkesbury Race Club,1 Racecourse Road,Clarendon,New South Wales,2756,Australia,,,Australia/Sydney,active,Hawkesbury Racecourse,high,Exact venue at Clarendon.,https://www.hawkesburyraceclub.com.au/
Remington Park,United States,25,Remington Park,1 Remington Place,Oklahoma City,Oklahoma,73111,United States,,,America/Chicago,active,,high,Exact Oklahoma City venue.,https://www.remingtonpark.com/
Charles town,United States,24,Hollywood Casino at Charles Town Races,750 Hollywood Drive,Charles Town,West Virginia,25414,United States,,,America/New_York,active,Charles Town Races,high,Source capitalization normalized; current official name retained.,https://www.hollywoodcasinocharlestown.com/racing
Far Hills,United States,23,Far Hills Race Meeting at Moorland Farm,50 US Route 202,Far Hills,New Jersey,07931,United States,,,America/New_York,active,Far Hills Race Meeting,medium,Annual steeplechase meeting rather than a permanent commercial racetrack.,https://farhillsrace.org/
Hobart,Australia,22,Elwick Racecourse,6 Goodwood Road,Glenorchy,Tasmania,7010,Australia,,,Australia/Hobart,active,Hobart Racecourse,high,Hobart racing is staged at Elwick Racecourse.,https://tasracing.com.au/venues/elwick
