candidate_course_label,candidate_jurisdiction,physical_venue_name,locality,region,country,latitude,longitude,iana_timezone,location_evidence,location_validation_status,raw_course_labels,provisional_races,meeting_dates,earliest_date,latest_date
La Plata,Argentina,Hipódromo de La Plata,La Plata,Buenos Aires,Argentina,-34.9012673,-57.9438043,America/Argentina/Buenos_Aires,"Nominatim manual selection from query 'Hipódromo de La Plata, Argentina'; provider place way:287312802; raw response f29ac5baf793331c1b0ec642ecdc882d744cd7daf87369ecd20a8ddf98ef08c7.",manually_validated,La Plata (ARG),37,28,2015-01-18,2025-09-21
Palermo,Argentina,Hipódromo Argentino de Palermo,Buenos Aires,Autonomous City of Buenos Aires,Argentina,-34.5663978,-58.4257272,America/Argentina/Buenos_Aires,"Nominatim manual selection from query 'Palermo hipódromo, Argentina'; selected result index 0, Hipódromo Argentino de Palermo.",manually_validated,Palermo (ARG),200,76,2015-01-03,2025-10-11
San Isidro,Argentina,,,,,,,America/Argentina/Buenos_Aires,,unassigned,San Isidro (ARG),179,80,2015-02-07,2025-10-04
Albury,Australia,,,,,,,Australia/Sydney,,unassigned,Albury (AUS),4,1,2015-03-27,2015-03-27
Alice springs,Australia,,,,,,,Australia/Darwin,,unassigned,Alice springs (AUS),1,1,2019-05-06,2019-05-06
Armidale,Australia,,,,,,,Australia/Sydney,,unassigned,Armidale (AUS),1,1,2020-03-01,2020-03-01
Ascot,Australia,Ascot Racecourse,Perth,Western Australia,Australia,-31.9349899,115.9207839,Australia/Perth,"Nominatim conservative automatic selection from query 'Ascot racecourse, Australia'; selected result index 0.",automatically_validated,Ascot (AUS),204,140,2015-01-01,2025-05-10
Balaklava,Australia,Balaklava Racecourse,Balaklava,South Australia,Australia,-34.1523097,138.4080132,Australia/Adelaide,"Nominatim conservative automatic selection from query 'Balaklava racecourse, Australia'; selected result index 0.",automatically_validated,Balaklava (AUS),1,1,2020-04-29,2020-04-29
Ballarat,Australia,,,,,,,Australia/Melbourne,,unassigned,Ballarat (AUS),2,2,2015-04-30,2015-05-10
Belmont Park (Perth),Australia,Belmont Park Racecourse,Perth,Western Australia,Australia,-31.9433124,115.8904519,Australia/Perth,"Nominatim conservative automatic selection from query 'Belmont Park racecourse, Australia'; selected result index 0.",automatically_validated,Belmont Park (Perth) (AUS),31,31,2015-05-16,2024-06-15
Bendigo,Australia,,,,,,,Australia/Melbourne,,unassigned,Bendigo (AUS),16,14,2015-03-21,2024-10-30
Canberra,Australia,,,,,,,Australia/Sydney,,unassigned,Canberra (AUS),18,11,2015-03-08,2025-03-09
Canterbury Park,Australia,Canterbury Park Racecourse,Sydney,New South Wales,Australia,-33.9069655,151.1156221,Australia/Sydney,"Nominatim conservative automatic selection from query 'Canterbury Park racecourse, Australia'; selected result index 0.",automatically_validated,Canterbury Park (AUS),10,2,2015-04-23,2015-04-29
Caulfield,Australia,,,,,,,Australia/Melbourne,,unassigned,Caulfield (AUS),574,143,2015-02-14,2025-10-11
Cranbourne,Australia,Cranbourne Racecourse,Melbourne,Victoria,Australia,-38.1205154,145.2785406,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Cranbourne racecourse, Australia'; selected result index 0.",automatically_validated,Cranbourne (AUS),9,9,2015-03-13,2018-10-21
Doomben,Australia,Doomben Racecourse,Brisbane,Queensland,Australia,-27.4262979,153.0761163,Australia/Brisbane,"Nominatim conservative automatic selection from query 'Doomben racecourse, Australia'; selected result index 0.",automatically_validated,Doomben (AUS),153,50,2015-05-09,2025-06-04
Eagle Farm,Australia,,,,,,,Australia/Brisbane,,unassigned,Eagle Farm (AUS),166,46,2016-06-11,2025-06-28
Echuca,Australia,,,,,,,Australia/Melbourne,,unassigned,Echuca (AUS),4,3,2015-03-07,2018-08-27
Flemington,Australia,Flemington Racecourse,Melbourne,Victoria,Australia,-37.7892513,144.9127713,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Flemington racecourse, Australia'; selected result index 0.",automatically_validated,Flemington (AUS),498,133,2015-01-01,2025-10-04
Gatton,Australia,Gatton Racecourse,Gatton,Queensland,Australia,-27.5525458,152.2640841,Australia/Brisbane,"Nominatim conservative automatic selection from query 'Gatton racecourse, Australia'; selected result index 0.",automatically_validated,Gatton (AUS),1,1,2019-05-03,2019-05-03
Geelong,Australia,Geelong Racecourse,Geelong,Victoria,Australia,-38.174669,144.3745648,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Geelong racecourse, Australia'; selected result index 0.",automatically_validated,Geelong (AUS),25,15,2015-04-29,2024-10-23
Gold Coast,Australia,Gold Coast Turf Club,Gold Coast,Queensland,Australia,-28.0056491,153.4074343,Australia/Brisbane,"Nominatim conservative automatic selection from query 'Gold Coast racecourse, Australia'; selected result index 0.",automatically_validated,Gold Coast (AUS),44,13,2015-04-25,2025-05-10
Gosford,Australia,Gosford Racecourse,Gosford,New South Wales,Australia,-33.4245828,151.3275269,Australia/Sydney,"Nominatim conservative automatic selection from query 'Gosford racecourse, Australia'; selected result index 0.",automatically_validated,Gosford (AUS),20,15,2015-01-09,2023-12-28
Goulburn,Australia,Goulburn Racecourse & Trotting Track,Goulburn,New South Wales,Australia,-34.7106879,149.7499166,Australia/Sydney,"Nominatim conservative automatic selection from query 'Goulburn racecourse, Australia'; selected result index 0.",automatically_validated,Goulburn (AUS),9,4,2015-03-20,2022-03-11
Grafton,Australia,Grafton Racecourse,Grafton,New South Wales,Australia,-29.6767327,152.931295,Australia/Sydney,"Nominatim conservative automatic selection from query 'Grafton racecourse, Australia'; selected result index 0.",automatically_validated,Grafton (AUS),1,1,2019-04-29,2019-04-29
Gundagai,Australia,,,,,,,Australia/Sydney,,unassigned,Gundagai (AUS),1,1,2018-11-16,2018-11-16
