verification_sample_id,raw_date,candidate_course_label,local_off_time,race_type_raw,verified_race_type,primary_evidence_url
GBRT-051,2015-04-01,Chelmsford (AW),16:30,Flat,Flat,https://www.horseracing.net/results/chelmsford/01-04-15
GBRT-052,2015-06-05,Epsom,15:10,Flat,Flat,https://www.horseracing.net/results/epsom/05-06-15
GBRT-053,2015-08-10,Wolverhampton (AW),14:15,Flat,Flat,https://www.horseracing.net/results/wolverhampton/10-08-15
GBRT-054,2016-05-11,York,14:40,Flat,Flat,https://www.yorkracecourse.co.uk/raceday-details.html?id=131&meet=66
GBRT-055,2016-06-12,Salisbury,14:15,Flat,Flat,https://www.horseracing.net/results/salisbury/12-06-16
GBRT-056,2016-08-19,Sandown,14:20,Flat,Flat,https://www.horseracing.net/results/sandown/19-08-16
GBRT-057,2016-08-29,Epsom,15:15,Flat,Flat,https://www.horseracing.net/results/epsom/29-08-16
GBRT-058,2017-04-15,Brighton,UNRESOLVED,Flat,Flat,https://www.horseracing.net/results/brighton/15-04-17
GBRT-059,2017-04-25,Wolverhampton (AW),18:00,Flat,Flat,https://www.horseracing.net/results/wolverhampton/25-04-17
GBRT-060,2017-05-19,Newcastle (AW),19:20,Flat,Flat,https://www.horseracing.net/results/newcastle/19-05-17
GBRT-061,2017-07-18,Bath,16:30,Flat,Flat,https://www.horseracing.net/results/bath/18-07-17
GBRT-062,2017-07-21,Hamilton,UNRESOLVED,Flat,Flat,https://thehorsesmouth.co.uk/races/7151-john-smiths-scottish-stewards-cup-handicap
GBRT-063,2017-08-19,Doncaster,13:25,Flat,Flat,https://www.horseracing.net/results/doncaster/19-08-17
GBRT-064,2017-08-28,Southwell (AW),16:15,Flat,Flat,https://www.horseracing.net/results/southwell/28-08-17
GBRT-065,2017-09-05,Kempton (AW),20:20,Flat,Flat,https://www.horseracing.net/results/kempton/05-09-17
GBRT-066,2017-12-06,Lingfield (AW),12:40,Flat,Flat,https://www.racingpost.com/racecards/2017-12-06/
GBRT-067,2018-04-18,Kempton (AW),17:45,Flat,Flat,https://www.horseracing.net/results/kempton/18-04-18
