verification_sample_id,raw_date,candidate_course_label,local_off_time,race_type_raw,race_name_raw,verified_race_type,race_type_agrees,verification_status,primary_evidence_url,secondary_audit_url,evidence_note
GBRT-001,2015-02-07,Newbury,14:25,Chase,Betfair Denman Chase,Chase,True,verified_external,https://www.racingpost.com/results/36/newbury/2015-02-07/617407,https://www.racingpost.com/results/2015-02-07,Published result identifies the sampled event as a Chase.
GBRT-002,2015-02-19,Sedgefield,16:45,Chase,Wills Property Services Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/sedgefield/19-02-15,https://www.racingpost.com/results/2015-02-19,Published result identifies the sampled event as a Chase.
GBRT-003,2015-03-13,Cheltenham,15:20,Chase,Betfred Cheltenham Gold Cup Chase Grade 1,Chase,True,verified_external,https://www.racingpost.com/results/11/cheltenham/2015-03-13/598093,https://www.racingpost.com/results/2015-03-13,Published result identifies the sampled event as a Chase.
GBRT-004,2015-05-14,Fontwell,18:15,Chase,starsportsbet.co.uk Ladies Open Hunters Chase (for the Stuart Adamson Memorial Trophy),Chase,True,verified_external,https://www.horseracing.net/results/fontwell/14-05-15,https://www.racingpost.com/results/2015-05-14,Published result identifies the sampled event as a Chase.
GBRT-005,2015-10-05,Market Rasen,15:50,Chase,32Red.com Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/market-rasen/05-10-15,https://www.racingpost.com/results/2015-10-05,Published result identifies the sampled event as a Chase.
GBRT-006,2015-10-22,Ludlow,16:45,Chase,Amateur Jockeys Association Amateur Riders Handicap Chase (for the Court of Hill Challenge Cup),Chase,True,verified_external,https://www.horseracing.net/results/ludlow/22-10-15,https://www.racingpost.com/results/2015-10-22,Published result identifies the sampled event as a Chase.
GBRT-007,2015-12-05,Chepstow,13:25,Chase,Angela Nettlefold Memorial In Aid of SSAFA Novices Limited Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/chepstow/05-12-15,https://www.racingpost.com/results/2015-12-05,Published result identifies the sampled event as a Chase.
GBRT-008,2016-04-02,Uttoxeter,16:55,Chase,Betfred Racings Biggest Supporter Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/uttoxeter/02-04-16,https://www.racingpost.com/results/2016-04-02,Published result identifies the sampled event as a Chase.
GBRT-009,2016-04-04,Wincanton,16:40,Chase,ApolloBet Fair Play Money Back Open Hunters Chase (for The John Dufosee Memorial Trophy),Chase,True,verified_external,https://www.horseracing.net/results/wincanton/04-04-16,https://www.racingpost.com/results/2016-04-04,Published result identifies the sampled event as a Chase.
GBRT-010,2016-12-13,Catterick,13:20,Chase,Come Racing New Years Day Beginners Chase,Chase,True,verified_external,https://www.horseracing.net/results/catterick/13-12-16,https://www.racingpost.com/results/2016-12-13,Published result identifies the sampled event as a Chase.
GBRT-011,2017-03-16,Towcester,15:55,Chase,Home Of The Greyhound Derby July 1st Beginners Chase,Chase,True,verified_external,https://www.horseracing.net/results/towcester/16-03-17,https://www.racingpost.com/results/2017-03-16,Published result identifies the sampled event as a Chase.
GBRT-012,2017-04-23,Stratford,14:00,Chase,toteplacepot Six Places In Six Races Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/stratford/23-04-17,https://www.racingpost.com/results/2017-04-23,Published result identifies the sampled event as a Chase.
GBRT-013,2017-05-18,Perth,16:45,Chase,totepool Happy Perth Ladies Day Handicap Chase (Qual for Northern Lights Middle Distance Series),Chase,True,verified_external,https://www.horseracing.net/results/perth/18-05-17,https://www.racingpost.com/results/2017-05-18,Published result identifies the sampled event as a Chase.
GBRT-014,2018-02-03,Musselburgh,13:30,Chase,bet365 Scottish Future Champions Novices Chase,Chase,True,verified_external,https://www.horseracing.net/results/musselburgh/03-02-18,https://www.racingpost.com/results/2018-02-03,Published result identifies the sampled event as a Chase.
GBRT-015,2018-02-05,Southwell,14:30,Chase,Free Betting Offers At freebetting.co.uk Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/southwell/05-02-18,https://www.racingpost.com/results/2018-02-05,Published result identifies the sampled event as a Chase.
GBRT-016,2018-09-06,Sedgefield,15:00,Chase,Terry Davison 50 Today Novices Handicap Chase (Sedgefield Young Chaser Series Qualifier),Chase,True,verified_external,https://www.horseracing.net/results/sedgefield/06-09-18,https://www.racingpost.com/results/2018-09-06,Published result identifies the sampled event as a Chase.
GBRT-017,2019-01-14,Ffos Las,14:35,Chase,Prince Fluffy Kareem Novices Chase,Chase,True,verified_external,https://www.horseracing.net/results/ffos-las/14-01-19,https://www.racingpost.com/results/2019-01-14,Published result identifies the sampled event as a Chase.
GBRT-018,2019-03-16,Uttoxeter,16:45,Chase,H Brown & Son Recycling Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/uttoxeter/16-03-19,https://www.racingpost.com/results/2019-03-16,Published result identifies the sampled event as a Chase.
GBRT-019,2019-09-24,Warwick,15:50,Chase,Weatherbys Racing Bank Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/warwick/24-09-19,https://www.racingpost.com/results/2019-09-24,Published result identifies the sampled event as a Chase.
GBRT-020,2019-11-04,Plumpton,14:10,Chase,Revived Inns Novices Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/plumpton/04-11-19,https://www.racingpost.com/results/2019-11-04,Published result identifies the sampled event as a Chase.
GBRT-021,2019-12-15,Carlisle,12:20,Chase,Watch Racing TV Now Novices Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/carlisle/15-12-19,https://www.racingpost.com/results/2019-12-15,Published result identifies the sampled event as a Chase.
GBRT-022,2020-02-13,Leicester,16:00,Chase,Thurnby Novices Handicap Chase,Chase,True,verified_external,https://www.horseracing.net/results/leicester/13-02-20,https://www.racingpost.com/results/2020-02-13,Published result identifies the sampled event as a Chase.
