resolution_id,verification_id,scope,source_date,source_course,source_off,source_field,resolution_kind,governed_text_value,governed_integer_value,governed_real_value,governed_unit,analytical_action,notes
POSTV3-RES-0001,POSTV3-RTYPE-0001,race,2015-02-13,Sandown,3:05,type,correction,Chase,,,,replace,Externally verified race type; preserve raw type=Flat and overlay Chase for current study use until absorbed into the next database release.
POSTV3-RES-0002,POSTV3-RTYPE-0002,race,2015-03-06,Sandown,3:25,type,correction,Chase,,,,replace,Externally verified race type; preserve raw type=Flat and overlay Chase for current study use until absorbed into the next database release.
POSTV3-RES-0003,POSTV3-RTYPE-0003,race,2016-01-30,Doncaster,3:50,type,correction,NH Flat,,,,replace,Externally verified race type; preserve raw type=Flat and overlay NH Flat for current study use until absorbed into the next database release.
POSTV3-RES-0004,POSTV3-RTYPE-0004,race,2016-01-30,Doncaster,4:25,type,correction,NH Flat,,,,replace,Externally verified race type; preserve raw type=Flat and overlay NH Flat for current study use until absorbed into the next database release.
POSTV3-RES-0005,POSTV3-RTYPE-0005,race,2016-03-11,Sandown,3:15,type,correction,Chase,,,,replace,Externally verified race type; preserve raw type=Flat and overlay Chase for current study use until absorbed into the next database release.
POSTV3-RES-0006,POSTV3-RTYPE-0006,race,2018-06-08,Stratford,9:00,type,correction,NH Flat,,,,replace,Externally verified race type; preserve raw type=Flat and overlay NH Flat for current study use until absorbed into the next database release.
POSTV3-RES-0007,POSTV3-RTYPE-0007,race,2019-05-31,Stratford,8:50,type,correction,NH Flat,,,,replace,Externally verified race type; preserve raw type=Flat and overlay NH Flat for current study use until absorbed into the next database release.
POSTV3-RES-0008,POSTV3-RTYPE-0008,race,2021-05-28,Stratford,8:40,type,correction,NH Flat,,,,replace,Externally verified race type; preserve raw type=Flat and overlay NH Flat for current study use until absorbed into the next database release.
POSTV3-RES-0009,POSTV3-TIME-0001,race,2018-06-08,Stratford,9:00,advertised_start_course_local,correction,2018-06-08T21:00:00+01:00,,,course_local_iso8601,replace,External result resolves the pre-boundary candidate branch; raw off=9:00 remains immutable source evidence.
POSTV3-RES-0010,POSTV3-TIME-0002,race,2019-05-31,Stratford,8:50,advertised_start_course_local,correction,2019-05-31T20:50:00+01:00,,,course_local_iso8601,replace,External result resolves the pre-boundary candidate branch; raw off=8:50 remains immutable source evidence.
POSTV3-RES-0011,POSTV3-TIME-0003,race,2021-05-28,Stratford,8:40,advertised_start_course_local,correction,2021-05-28T20:40:00+01:00,,,course_local_iso8601,replace,External result resolves the pre-boundary candidate branch; raw off=8:40 remains immutable source evidence.
POSTV3-RES-0012,POSTV3-TIME-0001,race,2018-06-08,Stratford,9:00,actual_off_course_local,enrichment,2018-06-08T21:01:00+01:00,,,course_local_iso8601,enrich,Externally reported actual off is preserved as a separate concept and does not replace advertised time.
POSTV3-RES-0013,POSTV3-TIME-0002,race,2019-05-31,Stratford,8:50,actual_off_course_local,enrichment,2019-05-31T20:50:00+01:00,,,course_local_iso8601,enrich,Externally reported actual off is preserved as a separate concept and does not replace advertised time.
POSTV3-RES-0014,POSTV3-TIME-0003,race,2021-05-28,Stratford,8:40,actual_off_course_local,enrichment,2021-05-28T20:40:00+01:00,,,course_local_iso8601,enrich,Externally reported actual off is preserved as a separate concept and does not replace advertised time.
POSTV3-RES-0015,POSTV3-RTYPE-0010,race,2015-05-14,Fontwell,5:05,type,correction,Chase,,,,replace,Externally verified race type; preserve raw type=Flat and overlay Chase for current study use until absorbed into the next database release.
POSTV3-RES-0016,POSTV3-RTYPE-0011,race,2017-08-04,Bath,7:40,type,correction,Flat,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Flat for current study use until absorbed into the next database release.
POSTV3-RES-0017,POSTV3-RTYPE-0012,race,2023-03-11,Sandown,1:50,type,correction,Hurdle,,,,replace,Externally verified race type; preserve raw type=Flat and overlay Hurdle for current study use until absorbed into the next database release.
POSTV3-RES-0018,POSTV3-RTYPE-0013,race,2023-06-26,Southwell,3:00,type,correction,NH Flat,,,,replace,Externally verified race type; preserve raw type=Flat and overlay NH Flat for current study use until absorbed into the next database release.
POSTV3-RES-0019,POSTV3-RTYPE-0014,race,2023-08-06,Market Rasen,5:22,type,correction,NH Flat,,,,replace,Externally verified race type; preserve raw type=Flat and overlay NH Flat for current study use until absorbed into the next database release.
POSTV3-RES-0020,POSTV3-RTYPE-0015,race,2024-07-12,Chepstow,8:45,type,correction,Flat,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Flat for current study use until absorbed into the next database release.
POSTV3-RES-0021,POSTV3-RTYPE-0016,race,2024-09-12,Epsom,3:45,type,correction,Flat,,,,replace,Externally verified race type; preserve raw type=Hurdle and overlay Flat for current study use until absorbed into the next database release.
POSTV3-RES-0022,POSTV3-RTYPE-0017,race,2015-01-27,Taunton,2:00,type,correction,Hurdle,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Hurdle for current study use until absorbed into the next database release.
POSTV3-RES-0023,POSTV3-RTYPE-0018,race,2015-01-27,Taunton,2:30,type,correction,Hurdle,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Hurdle for current study use until absorbed into the next database release.
POSTV3-RES-0024,POSTV3-RTYPE-0019,race,2016-04-19,Kempton,3:30,type,correction,Hurdle,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Hurdle for current study use until absorbed into the next database release.
POSTV3-RES-0025,POSTV3-RTYPE-0020,race,2019-01-09,Taunton,2:55,type,correction,Hurdle,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Hurdle for current study use until absorbed into the next database release.
POSTV3-RES-0026,POSTV3-RTYPE-0021,race,2021-10-05,Huntingdon,3:05,type,correction,Hurdle,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Hurdle for current study use until absorbed into the next database release.
POSTV3-RES-0027,POSTV3-RTYPE-0022,race,2022-03-14,Taunton,2:35,type,correction,Hurdle,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Hurdle for current study use until absorbed into the next database release.
POSTV3-RES-0028,POSTV3-RTYPE-0023,race,2022-12-21,Lingfield (AW),12:30,type,correction,NH Flat,,,,replace,Externally verified race type; preserve raw type=Flat and overlay NH Flat for current study use until absorbed into the next database release.
POSTV3-RES-0029,POSTV3-RTYPE-0024,race,2023-03-13,Taunton,2:50,type,correction,Hurdle,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Hurdle for current study use until absorbed into the next database release.
POSTV3-RES-0030,POSTV3-RTYPE-0025,race,2024-04-22,Hexham,3:00,type,correction,Hurdle,,,,replace,Externally verified race type; preserve raw type=Chase and overlay Hurdle for current study use until absorbed into the next database release.
POSTV3-RES-0031,POSTV3-RTYPE-0026,race,2025-11-11,Huntingdon,15:46,type,correction,NH Flat,,,,replace,Externally verified race type; preserve raw type=Chase and overlay NH Flat for current study use until absorbed into the next database release.
