ordinal,source_field,declared_type,grain,field_family,raw_preservation,blank_policy,dash_policy,zero_policy,governed_by,status
1,date,NUMERIC,race,race_identity_and_timing,required,unresolved_missing,not_expected,contextual_value,Notebook 03,pending_semantics
2,course,TEXT,race,course_and_jurisdiction,required,unresolved_missing,not_expected,contextual_value,Notebooks 04/09/12,implemented_later
3,race_id,INTEGER,race,source_lineage,required,unresolved_missing,not_expected,contextual_value,Notebook 03,pending_semantics
4,off,TEXT,race,race_identity_and_timing,required,unresolved_missing,not_expected,contextual_value,Notebook 11,implemented_later
5,race_name,TEXT,race,race_classification_and_conditions,required,unresolved_missing,not_expected,contextual_value,Notebook 03,pending_semantics
6,type,TEXT,race,race_classification_and_conditions,required,unresolved_missing,not_expected,contextual_value,Notebook 10,pending_semantics
7,class,TEXT,race,race_classification_and_conditions,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
8,pattern,TEXT,race,race_classification_and_conditions,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
9,rating_band,TEXT,race,race_classification_and_conditions,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
10,age_band,TEXT,race,race_classification_and_conditions,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
11,sex_rest,TEXT,race,race_classification_and_conditions,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
12,dist,TEXT,race,race_measurement,required,unresolved_missing,not_expected,contextual_value,Notebook 06,implemented_later
13,going,TEXT,race,race_conditions,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
14,ran,INTEGER,race,race_structure_and_result,required,unresolved_missing,not_expected,contextual_value,Notebook 10,pending_semantics
15,num,INTEGER,runner,race_structure_and_result,required,unresolved_missing,not_expected,possible_sentinel,Notebook 10,pending_semantics
16,pos,INTEGER,runner,race_structure_and_result,required,unresolved_missing,outcome_code_not_missing,possible_sentinel,Notebook 05,pending_semantics
17,draw,INTEGER,runner,runner_identity_and_characteristics,required,field_not_supplied,not_expected,possible_sentinel,Notebook 10,pending_semantics
18,ovr_btn,NUMERIC,runner,race_structure_and_result,required,unresolved_missing,not_expected,valid_measure_or_contextual,Notebook 05,pending_semantics
19,btn,NUMERIC,runner,race_structure_and_result,required,unresolved_missing,not_expected,valid_measure_or_contextual,Notebook 05,pending_semantics
20,horse,TEXT,runner,horse_and_pedigree_identity,required,unresolved_missing,not_expected,contextual_value,Notebook 03,pending_semantics
21,age,INTEGER,runner,runner_identity_and_characteristics,required,unresolved_missing,not_expected,possible_sentinel,Notebook 17,implemented_pending_validation
22,sex,TEXT,runner,runner_identity_and_characteristics,required,unresolved_missing,not_expected,contextual_value,Notebook 17,implemented_pending_validation
23,wgt,TEXT,runner,runner_measurement,required,unresolved_missing,not_expected,contextual_value,Notebook 07,implemented_later
24,hg,TEXT,runner,runner_identity_and_characteristics,required,field_not_supplied,not_expected,contextual_value,Notebook 17,implemented_pending_validation
25,time,TEXT,race,race_performance,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
26,sp,TEXT,runner,performance_market_and_value,required,field_not_supplied,not_expected,contextual_value,Notebook 08,pending_semantics
27,jockey,TEXT,runner,connections_and_ownership,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
28,trainer,TEXT,runner,connections_and_ownership,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
29,prize,INTEGER,runner,performance_market_and_value,required,field_not_supplied,not_expected,valid_amount_or_contextual,Notebook 13,implemented_later
30,or,INTEGER,runner,performance_market_and_value,required,field_not_supplied,unavailable_rating,possible_sentinel,Notebook 10,pending_semantics
31,rpr,INTEGER,runner,performance_market_and_value,required,field_not_supplied,unavailable_rating,possible_sentinel,Notebook 10,pending_semantics
32,ts,INTEGER,runner,performance_market_and_value,required,field_not_supplied,unavailable_rating,possible_sentinel,Notebook 10,pending_semantics
33,sire,TEXT,runner,horse_and_pedigree_identity,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
34,dam,TEXT,runner,horse_and_pedigree_identity,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
35,damsire,TEXT,runner,horse_and_pedigree_identity,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
36,owner,TEXT,runner,connections_and_ownership,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
37,comment,TEXT,runner,free_text,required,field_not_supplied,not_expected,contextual_value,Notebook 10,pending_semantics
